tradeDate,factor,label,category,ic,coverage,universe
2015-01-05,roe,ROE,盈利,0.09918363851777741,1912,2038
2015-01-05,grossMargin,毛利率,盈利,0.09748622811350509,1912,2038
2015-01-05,ocfToRevenue,经营现金流/营收,现金流,-0.04369181281850592,1912,2038
2015-01-05,fcfToEv,自由现金流/企业价值,现金流,0.006454728371079814,1874,2038
2015-01-05,debtToAssets,资产负债率,质量,0.09450843242262286,1912,2038
2015-01-05,receivablesTurnover,应收账款周转率,质量,0.07456247027958858,1877,2038
2015-01-05,inventoryTurnover,存货周转率,质量,0.03621370629719009,1869,2038
2015-01-05,logMarketCap,总市值(对数),规模,-0.040504728234162776,2038,2038
2015-01-05,logRevenue,营业收入(对数),规模,-0.11117094770801358,1912,2038
2015-01-05,logAssets,总资产(对数),规模,-0.11588253209932868,1912,2038
2015-01-05,turnover,换手率,换手率,0.1085061885853769,2038,2038
2015-01-05,turnover20,20日平均换手率,换手率,0.09970338359648559,2038,2038
2015-01-05,turnoverStd20,20日换手率标准差,换手率,0.11951003886519006,2038,2038
2015-01-12,roe,ROE,盈利,0.08699256899990611,1917,2040
2015-01-12,grossMargin,毛利率,盈利,0.07514361983362687,1917,2040
2015-01-12,ocfToRevenue,经营现金流/营收,现金流,-0.09217136860826097,1917,2040
2015-01-12,fcfToEv,自由现金流/企业价值,现金流,-0.027473005295574206,1879,2040
2015-01-12,debtToAssets,资产负债率,质量,0.10189704076532562,1917,2040
2015-01-12,receivablesTurnover,应收账款周转率,质量,0.02136399848808888,1882,2040
2015-01-12,inventoryTurnover,存货周转率,质量,-0.028550103555017862,1874,2040
2015-01-12,logMarketCap,总市值(对数),规模,-0.20123242860368895,2040,2040
2015-01-12,logRevenue,营业收入(对数),规模,-0.23847442893511403,1917,2040
2015-01-12,logAssets,总资产(对数),规模,-0.25747930780760553,1917,2040
2015-01-12,turnover,换手率,换手率,0.0928124476642047,2040,2040
2015-01-12,turnover20,20日平均换手率,换手率,0.08397420311915493,2040,2040
2015-01-12,turnoverStd20,20日换手率标准差,换手率,0.10359779565755653,2040,2040
2015-01-19,roe,ROE,盈利,-0.04638068695534494,1910,2030
2015-01-19,grossMargin,毛利率,盈利,-0.11533664597828401,1910,2030
2015-01-19,ocfToRevenue,经营现金流/营收,现金流,-0.07281647924184959,1910,2030
2015-01-19,fcfToEv,自由现金流/企业价值,现金流,-0.008276378830187038,1873,2030
2015-01-19,debtToAssets,资产负债率,质量,-0.08969191062783391,1910,2030
2015-01-19,receivablesTurnover,应收账款周转率,质量,-0.0314669846442397,1876,2030
2015-01-19,inventoryTurnover,存货周转率,质量,-0.006166647227315756,1869,2030
2015-01-19,logMarketCap,总市值(对数),规模,-0.036304256752064626,2030,2030
2015-01-19,logRevenue,营业收入(对数),规模,0.010972033111196003,1910,2030
2015-01-19,logAssets,总资产(对数),规模,-0.006098646604491041,1910,2030
2015-01-19,turnover,换手率,换手率,0.08280506237490504,2030,2030
2015-01-19,turnover20,20日平均换手率,换手率,0.00891682889883363,2030,2030
2015-01-19,turnoverStd20,20日换手率标准差,换手率,0.025663075815447495,2030,2030
2015-01-26,roe,ROE,盈利,0.053619410084896804,1923,2044
2015-01-26,grossMargin,毛利率,盈利,0.021407248361585172,1923,2044
2015-01-26,ocfToRevenue,经营现金流/营收,现金流,-0.06724312023705031,1923,2044
2015-01-26,fcfToEv,自由现金流/企业价值,现金流,-0.016211312139815658,1886,2044
2015-01-26,debtToAssets,资产负债率,质量,0.0591153744664245,1923,2044
2015-01-26,receivablesTurnover,应收账款周转率,质量,-0.049447326888006626,1889,2044
2015-01-26,inventoryTurnover,存货周转率,质量,-0.02272151511337289,1881,2044
2015-01-26,logMarketCap,总市值(对数),规模,-0.2503893961222299,2044,2044
2015-01-26,logRevenue,营业收入(对数),规模,-0.18916751492748296,1923,2044
2015-01-26,logAssets,总资产(对数),规模,-0.2164759669392478,1923,2044
2015-01-26,turnover,换手率,换手率,0.12870516741756988,2044,2044
2015-01-26,turnover20,20日平均换手率,换手率,0.16358261566861862,2044,2044
2015-01-26,turnoverStd20,20日换手率标准差,换手率,0.1667816890537909,2044,2044
2015-02-02,roe,ROE,盈利,0.018996377886947267,1935,2060
2015-02-02,grossMargin,毛利率,盈利,0.06267155435636303,1935,2060
2015-02-02,ocfToRevenue,经营现金流/营收,现金流,-0.01300775389963852,1935,2060
2015-02-02,fcfToEv,自由现金流/企业价值,现金流,0.02080678500336663,1899,2060
2015-02-02,debtToAssets,资产负债率,质量,0.034467329533347094,1935,2060
2015-02-02,receivablesTurnover,应收账款周转率,质量,0.04883039928313454,1902,2060
2015-02-02,inventoryTurnover,存货周转率,质量,0.005476499525982342,1895,2060
2015-02-02,logMarketCap,总市值(对数),规模,-0.04150044945197951,2060,2060
2015-02-02,logRevenue,营业收入(对数),规模,-0.08505887663232524,1935,2060
2015-02-02,logAssets,总资产(对数),规模,-0.08487593281408948,1935,2060
2015-02-02,turnover,换手率,换手率,0.07123889721488853,2060,2060
2015-02-02,turnover20,20日平均换手率,换手率,0.08332261910892028,2060,2060
2015-02-02,turnoverStd20,20日换手率标准差,换手率,0.0910012889842832,2060,2060
2015-02-09,roe,ROE,盈利,0.025698114139858712,1939,2063
2015-02-09,grossMargin,毛利率,盈利,0.08156003692795326,1939,2063
2015-02-09,ocfToRevenue,经营现金流/营收,现金流,0.021319134792254675,1939,2063
2015-02-09,fcfToEv,自由现金流/企业价值,现金流,-0.007500790010848963,1902,2063
2015-02-09,debtToAssets,资产负债率,质量,0.09971372549516497,1939,2063
2015-02-09,receivablesTurnover,应收账款周转率,质量,-0.03671332267852018,1905,2063
2015-02-09,inventoryTurnover,存货周转率,质量,-0.049969289921863905,1899,2063
2015-02-09,logMarketCap,总市值(对数),规模,-0.04658092646144913,2063,2063
2015-02-09,logRevenue,营业收入(对数),规模,-0.11269662196056245,1939,2063
2015-02-09,logAssets,总资产(对数),规模,-0.08801089505057076,1939,2063
2015-02-09,turnover,换手率,换手率,0.026800216195014423,2063,2063
2015-02-09,turnover20,20日平均换手率,换手率,-0.06718840886781371,2063,2063
2015-02-09,turnoverStd20,20日换手率标准差,换手率,-0.034656851628752,2063,2063
2015-02-16,roe,ROE,盈利,-0.06628290542996579,1951,2080
2015-02-16,grossMargin,毛利率,盈利,-0.04018909687432678,1951,2080
2015-02-16,ocfToRevenue,经营现金流/营收,现金流,-0.03519720410315391,1951,2080
2015-02-16,fcfToEv,自由现金流/企业价值,现金流,-0.038366901619616235,1914,2080
2015-02-16,debtToAssets,资产负债率,质量,-0.08999564525539967,1951,2080
2015-02-16,receivablesTurnover,应收账款周转率,质量,-0.011733238839780535,1916,2080
2015-02-16,inventoryTurnover,存货周转率,质量,-0.006769290677615427,1909,2080
2015-02-16,logMarketCap,总市值(对数),规模,-0.05287608835277868,2080,2080
2015-02-16,logRevenue,营业收入(对数),规模,-0.024735371121575304,1951,2080
2015-02-16,logAssets,总资产(对数),规模,-0.012007336348269573,1951,2080
2015-02-16,turnover,换手率,换手率,0.021596398151678096,2080,2080
2015-02-16,turnover20,20日平均换手率,换手率,0.005625030740182149,2080,2080
2015-02-16,turnoverStd20,20日换手率标准差,换手率,0.0032911826861911795,2080,2080
2015-03-02,roe,ROE,盈利,-0.015647603899533822,1948,2077
2015-03-02,grossMargin,毛利率,盈利,-0.05656559423850682,1948,2077
2015-03-02,ocfToRevenue,经营现金流/营收,现金流,-0.022573481022084837,1948,2077
2015-03-02,fcfToEv,自由现金流/企业价值,现金流,-0.0228646180572816,1910,2077
2015-03-02,debtToAssets,资产负债率,质量,-0.001386566208659672,1948,2077
2015-03-02,receivablesTurnover,应收账款周转率,质量,-0.05243592384115628,1912,2077
2015-03-02,inventoryTurnover,存货周转率,质量,-0.006105138941482522,1905,2077
2015-03-02,logMarketCap,总市值(对数),规模,-0.25721198696242736,2077,2077
2015-03-02,logRevenue,营业收入(对数),规模,-0.13852916734077647,1948,2077
2015-03-02,logAssets,总资产(对数),规模,-0.16215501683599456,1948,2077
2015-03-02,turnover,换手率,换手率,0.07595184380215585,2077,2077
2015-03-02,turnover20,20日平均换手率,换手率,0.09641993677368021,2077,2077
2015-03-02,turnoverStd20,20日换手率标准差,换手率,0.09696698317886658,2077,2077
