strategy,tradeDate,count,grossReturn,grossTradedNotional,oneWayTurnover,cost,netReturn
13因子-严格完整,2015-01-05,100,-0.011746907719676179,1.0,1.0,0.0015,-0.013246907719676178
13因子-严格完整,2015-01-12,100,-0.023615262011905506,0.22,0.11,0.00033,-0.023945262011905506
13因子-严格完整,2015-01-19,100,0.09026417388197996,0.18,0.09,0.00027,0.08999417388197996
13因子-严格完整,2015-01-26,100,-0.030545653932698865,0.32,0.16,0.00048,-0.031025653932698866
13因子-严格完整,2015-02-02,100,-0.00939034599248244,0.28,0.14,0.00042000000000000007,-0.00981034599248244
13因子-严格完整,2015-02-09,100,0.07532817507285301,0.24,0.12,0.00035999999999999997,0.07496817507285301
13因子-严格完整,2015-02-16,100,0.033716200354581956,0.34,0.17,0.00051,0.03320620035458195
13因子-严格完整,2015-03-02,100,0.001564605631552991,0.14,0.07,0.00021000000000000004,0.001354605631552991
13因子-严格完整,2015-03-09,100,0.05397166234557203,0.24,0.12,0.00035999999999999997,0.053611662345572034
13因子-严格完整,2015-03-16,100,0.06269745195042876,0.26,0.13,0.00039000000000000005,0.06230745195042876
13因子-严格完整,2015-03-23,100,0.038960322019809646,0.32,0.16,0.00048,0.038480322019809644
13因子-严格完整,2015-03-30,100,0.06907237886184726,0.26,0.13,0.00039000000000000005,0.06868237886184726
13因子-严格完整,2015-04-07,100,0.04362124455538666,0.28,0.14,0.00042000000000000007,0.04320124455538666
13因子-严格完整,2015-04-14,100,0.015564192637398793,0.28,0.14,0.00042000000000000007,0.015144192637398792
13因子-严格完整,2015-04-21,100,0.027286205007624922,0.32,0.16,0.00048,0.02680620500762492
13因子-严格完整,2015-04-28,100,-0.03613345033087479,0.72,0.36,0.00108,-0.03721345033087479
13因子-严格完整,2015-05-06,100,0.07991152034871443,0.7000000000000001,0.35000000000000003,0.0010500000000000002,0.07886152034871444
13因子-严格完整,2015-05-13,100,0.03897244734786534,0.3,0.15,0.00045,0.03852244734786534
13因子-严格完整,2015-05-20,100,0.1365677904342234,0.26,0.13,0.00039000000000000005,0.1361777904342234
13因子-严格完整,2015-05-27,100,0.032287574525254346,0.28,0.14,0.00042000000000000007,0.03186757452525435
13因子-严格完整,2015-06-03,100,0.022236313675141686,0.24,0.12,0.00035999999999999997,0.021876313675141687
13因子-严格完整,2015-06-10,100,-0.022116521200116094,0.3,0.15,0.00045,-0.022566521200116093
13因子-严格完整,2015-06-17,100,-0.09399768124953872,0.24,0.12,0.00035999999999999997,-0.09435768124953872
13因子-严格完整,2015-06-25,100,-0.1615251721131595,0.2,0.1,0.00030000000000000003,-0.1618251721131595
13因子-严格完整,2015-07-02,100,-0.08347245432553856,0.2,0.1,0.00030000000000000003,-0.08377245432553855
13因子-严格完整,2015-07-09,100,0.08464280335293121,0.62,0.31,0.00093,0.08371280335293121
13因子-严格完整,2015-07-16,100,0.12623208636121308,0.54,0.27,0.0008100000000000001,0.12542208636121308
13因子-严格完整,2015-07-23,100,-0.11400199103705164,0.22,0.11,0.00033,-0.11433199103705163
13因子-严格完整,2015-07-30,100,0.010049543980834286,0.2,0.1,0.00030000000000000003,0.009749543980834286
13因子-严格完整,2015-08-06,100,0.09578537301687842,0.28,0.14,0.00042000000000000007,0.09536537301687842
13因子-严格完整,2015-08-13,100,-0.06305475426375881,0.26,0.13,0.00039000000000000005,-0.06344475426375881
13因子-严格完整,2015-08-20,100,-0.18945069857279304,0.34,0.17,0.00051,-0.18996069857279305
13因子-严格完整,2015-08-27,100,-0.012955849968393105,0.52,0.26,0.0007800000000000001,-0.013735849968393105
13因子-严格完整,2015-09-07,100,-0.009682372213672873,0.48,0.24,0.0007199999999999999,-0.010402372213672873
13因子-严格完整,2015-09-14,100,0.05369572132882479,0.2,0.1,0.00030000000000000003,0.05339572132882479
13因子-严格完整,2015-09-21,100,-0.015256485129165713,0.18,0.09,0.00027,-0.015526485129165712
13因子-严格完整,2015-09-28,100,0.09455956447988285,0.12,0.06,0.00017999999999999998,0.09437956447988285
13因子-严格完整,2015-10-12,100,0.03575879669297757,0.2,0.1,0.00030000000000000003,0.035458796692977565
13因子-严格完整,2015-10-19,100,0.03146402426192397,0.28,0.14,0.00042000000000000007,0.03104402426192397
13因子-严格完整,2015-10-26,100,-0.023970093824153813,0.38,0.19,0.00057,-0.024540093824153814
13因子-严格完整,2015-11-02,100,0.08310494189409624,0.44,0.22,0.00066,0.08244494189409625
13因子-严格完整,2015-11-09,100,-0.0019098987124870049,0.28,0.14,0.00042000000000000007,-0.002329898712487005
13因子-严格完整,2015-11-16,100,0.0016769245508242736,0.18,0.09,0.00027,0.0014069245508242735
13因子-严格完整,2015-11-23,100,-0.037828586709732284,0.18,0.09,0.00027,-0.038098586709732284
13因子-严格完整,2015-11-30,100,0.04470471756889105,0.16,0.08,0.00024,0.04446471756889105
13因子-严格完整,2015-12-07,100,-0.002231725732366986,0.16,0.08,0.00024,-0.002471725732366986
13因子-严格完整,2015-12-14,100,0.05565346791056656,0.2,0.1,0.00030000000000000003,0.055353467910566556
13因子-严格完整,2015-12-21,100,-0.027549437248806576,0.22,0.11,0.00033,-0.027879437248806576
13因子-严格完整,2015-12-28,100,-0.08166652791117031,0.24,0.12,0.00035999999999999997,-0.08202652791117031
13因子-严格完整,2016-01-05,100,-0.09375474621694452,0.16,0.08,0.00024,-0.09399474621694452
