observation_month,ppi_yoy,availability_date
2006-01-01,3.05,2006-02-15
2006-02-01,3.01,2006-03-15
2006-03-01,2.49,2006-04-15
2006-04-01,1.87,2006-05-15
2006-05-01,2.43,2006-06-15
2006-06-01,3.52,2006-07-15
2006-07-01,3.58,2006-08-15
2006-08-01,3.4,2006-09-15
2006-09-01,3.45,2006-10-15
2006-10-01,2.9,2006-11-15
2006-11-01,2.78,2006-12-15
2006-12-01,3.05,2007-01-15
2007-01-01,3.3,2007-02-15
2007-02-01,2.6,2007-03-15
2007-03-01,2.65,2007-04-15
2007-04-01,2.87,2007-05-15
2007-05-01,2.76,2007-06-15
2007-06-01,2.49,2007-07-15
2007-07-01,2.39,2007-08-15
2007-08-01,2.56,2007-09-15
2007-09-01,2.71,2007-10-15
2007-10-01,3.21,2007-11-15
2007-11-01,4.55,2007-12-15
2007-12-01,5.43,2008-01-15
2008-01-01,6.07,2008-02-15
2008-02-01,6.62,2008-03-15
2008-03-01,7.95,2008-04-15
2008-04-01,8.12,2008-05-15
2008-05-01,8.22,2008-06-15
2008-06-01,8.84,2008-07-15
2008-07-01,10.03,2008-08-15
2008-08-01,10.06,2008-09-15
2008-09-01,9.13,2008-10-15
2008-10-01,6.59,2008-11-15
2008-11-01,1.99,2008-12-15
2008-12-01,-1.14,2009-01-15
2009-01-01,-3.35,2009-02-15
2009-02-01,-4.47,2009-03-15
2009-03-01,-5.99,2009-04-15
2009-04-01,-6.6,2009-05-15
2009-05-01,-7.2,2009-06-15
2009-06-01,-7.8,2009-07-15
2009-07-01,-8.22,2009-08-15
2009-08-01,-7.86,2009-09-15
2009-09-01,-6.99,2009-10-15
2009-10-01,-5.85,2009-11-15
2009-11-01,-2.08,2009-12-15
2009-12-01,1.7,2010-01-15
2010-01-01,4.32,2010-02-15
2010-02-01,5.39,2010-03-15
2010-03-01,5.91,2010-04-15
2010-04-01,6.81,2010-05-15
2010-05-01,7.13,2010-06-15
2010-06-01,6.41,2010-07-15
2010-07-01,4.84,2010-08-15
2010-08-01,4.32,2010-09-15
2010-09-01,4.33,2010-10-15
2010-10-01,5.04,2010-11-15
2010-11-01,6.06,2010-12-15
2010-12-01,5.93,2011-01-15
2011-01-01,6.6436,2011-02-15
2011-02-01,7.2322,2011-03-15
2011-03-01,7.3081,2011-04-15
2011-04-01,6.821,2011-05-15
2011-05-01,6.7851,2011-06-15
2011-06-01,7.1209,2011-07-15
2011-07-01,7.5417,2011-08-15
2011-08-01,7.2528,2011-09-15
2011-09-01,6.5227,2011-10-15
2011-10-01,5.0038,2011-11-15
2011-11-01,2.7179,2011-12-15
2011-12-01,1.6854,2012-01-15
2012-01-01,0.7347,2012-02-15
2012-02-01,0.0284,2012-03-15
2012-03-01,-0.3171,2012-04-15
2012-04-01,-0.6984,2012-05-15
2012-05-01,-1.3981,2012-06-15
2012-06-01,-2.0843,2012-07-15
2012-07-01,-2.8651,2012-08-15
2012-08-01,-3.4784,2012-09-15
2012-09-01,-3.5545,2012-10-15
2012-10-01,-2.7558,2012-11-15
2012-11-01,-2.1995,2012-12-15
2012-12-01,-1.9397,2013-01-15
2013-01-01,-1.6372,2013-02-15
2013-02-01,-1.6254,2013-03-15
2013-03-01,-1.919,2013-04-15
2013-04-01,-2.6175,2013-05-15
2013-05-01,-2.8658,2013-06-15
2013-06-01,-2.6965,2013-07-15
2013-07-01,-2.2712,2013-08-15
2013-08-01,-1.625,2013-09-15
2013-09-01,-1.3439,2013-10-15
2013-10-01,-1.5071,2013-11-15
2013-11-01,-1.4242,2013-12-15
2013-12-01,-1.3557,2014-01-15
2014-01-01,-1.6394,2014-02-15
2014-02-01,-2.0182,2014-03-15
2014-03-01,-2.3022,2014-04-15
2014-04-01,-2.0042,2014-05-15
2014-05-01,-1.4464,2014-06-15
2014-06-01,-1.1086,2014-07-15
2014-07-01,-0.8688,2014-08-15
2014-08-01,-1.2038,2014-09-15
2014-09-01,-1.7996,2014-10-15
2014-10-01,-2.2428,2014-11-15
2014-11-01,-2.6928,2014-12-15
2014-12-01,-3.3152,2015-01-15
2015-01-01,-4.3202,2015-02-15
2015-02-01,-4.7976,2015-03-15
2015-03-01,-4.5603,2015-04-15
2015-04-01,-4.5725,2015-05-15
2015-05-01,-4.607,2015-06-15
2015-06-01,-4.8135,2015-07-15
2015-07-01,-5.3692,2015-08-15
2015-08-01,-5.9227,2015-09-15
2015-09-01,-5.945,2015-10-15
2015-10-01,-5.9,2015-11-15
2015-11-01,-5.9,2015-12-15
2015-12-01,-5.9,2016-01-15
2016-01-01,-5.3,2016-02-15
2016-02-01,-4.9,2016-03-15
2016-03-01,-4.3,2016-04-15
2016-04-01,-3.4,2016-05-15
2016-05-01,-2.8,2016-06-15
2016-06-01,-2.6,2016-07-15
2016-07-01,-1.7,2016-08-15
2016-08-01,-0.8,2016-09-15
2016-09-01,0.1,2016-10-15
2016-10-01,1.2,2016-11-15
2016-11-01,3.3,2016-12-15
2016-12-01,5.5,2017-01-15
2017-01-01,6.9,2017-02-15
2017-02-01,7.8,2017-03-15
2017-03-01,7.6,2017-04-15
2017-04-01,6.4,2017-05-15
2017-05-01,5.5,2017-06-15
2017-06-01,5.5,2017-07-15
2017-07-01,5.5,2017-08-15
2017-08-01,6.3,2017-09-15
2017-09-01,6.9,2017-10-15
2017-10-01,6.9,2017-11-15
2017-11-01,5.8,2017-12-15
2017-12-01,4.9,2018-01-15
2018-01-01,4.3,2018-02-15
2018-02-01,3.7,2018-03-15
2018-03-01,3.1,2018-04-15
2018-04-01,3.4,2018-05-15
2018-05-01,4.1,2018-06-15
2018-06-01,4.7,2018-07-15
2018-07-01,4.6,2018-08-15
2018-08-01,4.1,2018-09-15
2018-09-01,3.6,2018-10-15
2018-10-01,3.3,2018-11-15
2018-11-01,2.7,2018-12-15
2018-12-01,0.9,2019-01-15
2019-01-01,0.1,2019-02-15
