tradeDate,eligibleSymbols,averageUniverseAmount20,averageMarketCap,signaledSymbols,signalCount
2026-06-16,729,1241205932.2923589,52834313185.57365,459,757
2026-06-17,721,1236623623.4010675,53268530899.50373,480,788
2026-06-18,715,1228881273.5636678,53354729036.41457,393,608
2026-06-22,709,1223631238.1940706,52253955676.54757,519,1179
2026-06-23,703,1237032561.1364276,54367169121.624214,252,357
2026-06-24,721,1223251172.6835554,51845402881.230965,441,675
2026-06-25,719,1206578437.314286,52208245150.76181,421,663
2026-06-26,713,1178613797.308124,51603179164.17868,350,535
2026-06-29,726,1237791247.327941,50975234009.619865,482,908
2026-06-30,720,1251094416.8664503,51482644829.208084,468,774
2026-07-01,703,1243327959.5834126,51849098653.11942,485,917
2026-07-02,699,1267711048.862442,53032410804.05161,385,591
2026-07-03,726,1322804161.7339783,52744494389.20885,464,744
2026-07-06,742,1392137976.0450184,54325773584.90566,364,597
2026-07-07,740,1398192290.4009814,53799191891.89189,357,497
2026-07-08,750,1388727792.280402,52110460000,373,576
2026-07-09,744,1370543154.2441394,51631038978.49462,567,1585
2026-07-10,743,1370436829.5622196,51363528936.742935,443,620
2026-07-13,749,1379510809.1530375,51021461949.265686,289,367
2026-07-14,759,1364883291.0392756,49602980237.15415,518,928
2026-07-15,750,1352629499.8274617,50724812000,443,660
2026-07-16,756,1344045653.9114673,50886870370.37037,342,483
