tradeDate,tradeCount,tradedSymbols,dailyReturn,winRate,averageWin,averageLoss,profitLossRatio,rollingMomentumTrades,tailMomentumTrades,nav,cumulativeReturn,drawdown
2026-06-16,100,100,-0.0009631775720893576,0.33,0.012284679619004278,-0.007488241561732491,1.6405292908529083,99,1,0.9990368224279107,-0.0009631775720893021,0
2026-06-17,100,100,-0.0029764817289457722,0.27,0.008442966909866543,-0.007200113417273615,1.1726158215245928,91,9,0.9960632075794099,-0.003936792420590085,-0.0029764817289458234
2026-06-18,100,100,-0.002550648062899211,0.24,0.010263857808702407,-0.006597334127615512,1.5557583730281817,97,3,0.9935226008884723,-0.006477399111527671,-0.005519537834488886
2026-06-22,100,100,-0.002326063907260325,0.4,0.0072411247246606915,-0.008704189661874336,0.8319125623351143,97,3,0.9912116038254983,-0.008788396174501667,-0.007832762944007476
2026-06-23,100,100,-0.002955631122893616,0.33,0.006750206934359961,-0.007736118524227467,0.8725573313309648,92,8,0.9882819479598584,-0.011718052040141647,-0.010765243308965666
2026-06-24,100,100,0.00013365299364892627,0.46,0.009455094187491546,-0.007806833949254046,1.2111304337906397,95,5,0.9884140348007723,-0.011585965199227721,-0.010633029122312454
2026-06-25,100,100,0.0016632274915133183,0.51,0.009910059095631451,-0.006920209484201474,1.432046113380768,98,2,0.9900579921964506,-0.009942007803549369,-0.00898748677715322
2026-06-26,100,100,-0.0028664695966299615,0.28,0.011673894493206494,-0.008521055631566361,1.3700056657253121,95,5,0.987220021062919,-0.012779978937081049,-0.01182819401618651
2026-06-29,100,100,-0.003430731055443583,0.27,0.009979568287715228,-0.008390704785105061,1.1893599576320062,96,4,0.9838331346781027,-0.01616686532189726,-0.015218345719088866
2026-06-30,100,100,-0.0015768969043832514,0.31,0.006363147279598288,-0.005144163131969161,1.2369645200506123,92,8,0.9822817312535992,-0.01771826874640081,-0.016771244861217838
2026-07-01,100,100,0.003626311823374485,0.51,0.01259160578534864,-0.005704912504394535,2.2071514288166973,98,2,0.985843791109529,-0.014156208890470978,-0.013205750801376204
2026-07-02,100,100,0.0023323798027835353,0.52,0.011650842963513725,-0.00776262195467417,1.5008901672067527,99,1,0.9881431532566124,-0.011856846743387606,-0.010904171825042441
2026-07-03,100,100,-0.0018619729843777045,0.39,0.007034831921515738,-0.007550094153719413,0.9317541978003226,100,0,0.9863032574005507,-0.013696742599449307,-0.01274584153606495
2026-07-06,100,100,0.0028530593537440907,0.54,0.008982491771301246,-0.004342361310344742,2.0685730940680567,98,2,0.9891172391347056,-0.010882760865294383,-0.009929146824736668
2026-07-07,100,100,-0.003723567438516904,0.22,0.008867491627257891,-0.007274891790402103,1.2189173231355737,82,18,0.985434194390188,-0.014565805609812021,-0.01361574241544461
2026-07-08,100,100,-0.0003547778977612391,0.49,0.007406562451704127,-0.007811751959012276,0.9481307766255059,98,2,0.9850845841183201,-0.014915415881679883,-0.013965689748735355
2026-07-09,100,100,0.0002616491024497226,0.44,0.007075025662569048,-0.00509171819478689,1.3895163463313325,91,9,0.9853423306155916,-0.014657669384408378,-0.013707694756473598
2026-07-10,100,100,-0.0002725873668811085,0.46,0.008351018093772781,-0.007618621648178867,1.0961324081199102,99,1,0.9850737387442127,-0.014926261255787332,-0.013976545578934907
2026-07-13,100,100,-0.007060806087138146,0.21,0.006781137530320354,-0.010740310086715723,0.631372602426785,94,6,0.9781183240934077,-0.02188167590659229,-0.020938665987972116
2026-07-14,100,100,-0.002170866903573029,0.35,0.007259162266975491,-0.00724857491848377,1.0014606110319317,95,5,0.9759949593958549,-0.0240050406041451,-0.023064077834547003
2026-07-15,100,100,-0.0034101281995278874,0.28,0.008616115816474423,-0.008087000872417675,1.0654278331861444,94,6,0.9726666914622221,-0.027333308537777934,-0.02639555457185505
2026-07-16,100,100,-0.001289232580416384,0.38,0.005410654262631437,-0.005395614839058597,1.002787341947385,100,0,0.9714126978737032,-0.028587302126296787,-0.0276507571433392
