symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
300145,南方泵业,6,6,0.021722741675497,0.6666666666666666,0.03712387665014605,-0.009079528273801096,4.088745090123975,0.12976657012915505,6,0
002057,中钢天源,3,3,0.021949659108522496,0.6666666666666666,0.0398969745793053,-0.013944971833043107,2.861029413108458,0.06629854687710068,1,2
001400,江顺科技,1,1,0.06362966071234799,1,0.06362966071234799,,,0.0636296607123481,1,0
300811,铂科新材,2,2,0.0297446975632491,0.5,0.06092589573533458,-0.0014365006088363766,42.41271835219549,0.05940187504018035,2,0
688380,中微半导,1,1,0.05885850151692951,1,0.05885850151692951,,,0.05885850151692962,1,0
300088,长信科技,2,2,0.02857811846982361,0.5,0.060124692096115484,-0.002968455156468263,20.254539458042274,0.0569777594873635,2,0
603444,吉比特,4,4,0.012024371781986065,0.75,0.01606489028209394,-0.00009718371833755592,165.30433859604426,0.048790011980605286,4,0
002472,双环传动,5,5,0.009317117304994094,0.6,0.01797232198602287,-0.003665689716549069,4.902848679440949,0.047125597691925813,5,0
688209,英集芯,6,6,0.007729540483666568,0.5,0.02299127003092098,-0.007532189063587842,3.052402141903942,0.046447787326676426,6,0
000417,合百集团,5,5,0.009240143310980487,0.6,0.019677158538282558,-0.006415379529972619,3.0671854169111863,0.04566095188424368,4,1
600779,水井坊,1,1,0.045657388044045066,1,0.045657388044045066,,,0.04565738804404518,1,0
688372,伟测科技,1,1,0.044179946727962105,1,0.044179946727962105,,,0.044179946727961994,1,0
689009,九号公司-WD,3,3,0.014180923551466607,0.6666666666666666,0.02162183184871258,-0.0007008930430253404,30.848974838420325,0.04254278877074347,3,0
002940,昂利康,7,7,0.005922200326410855,0.5714285714285714,0.015733711102891346,-0.007159814042229799,2.1975027577659483,0.04155361269240054,7,0
688099,晶晨股份,5,5,0.00809321086540995,1,0.00809321086540995,,,0.041097773346166155,5,0
002768,国恩股份,5,5,0.008093905462389705,1,0.008093905462389705,,,0.041055255410130664,4,1
000021,深科技,4,4,0.009817277347208858,0.75,0.01436489929265102,-0.0038255884891176253,3.754951514914322,0.03965918903467025,4,0
601319,中国人保,2,2,0.019312131213552797,1,0.019312131213552797,,,0.03898969897528892,2,0
603538,美诺华,1,1,0.03877940770066013,1,0.03877940770066013,,,0.03877940770066024,1,0
002517,恺英网络,1,1,0.038739390326897216,1,0.038739390326897216,,,0.038739390326897105,1,0
002881,美格智能,3,3,0.013032444249880778,0.6666666666666666,0.025934066549039958,-0.012770800348437583,2.0307315000984105,0.0384937698542529,3,0
600426,华鲁恒升,3,3,0.012651763428957019,1,0.012651763428957019,,,0.038274664057854846,3,0
002245,蔚蓝锂芯,4,4,0.009563559542105249,0.75,0.013725447789365167,-0.0029221051996745065,4.697109395956739,0.038255507462686245,4,0
601669,中国电建,1,1,0.037539566701057514,1,0.037539566701057514,,,0.0375395667010574,1,0
002821,凯莱英,5,5,0.0073912685057409225,0.6,0.015099203419438045,-0.004170633864804762,3.6203617744673156,0.03706932676168062,5,0
688578,艾力斯,4,4,0.008405350958757052,0.75,0.012812433316177466,-0.004815896113504191,2.6604463664094182,0.03388610996819197,4,0
600702,舍得酒业,2,2,0.01668558207082871,0.5,0.047966352936512746,-0.01459518879485533,3.286449638350718,0.03267108616474834,2,0
300566,激智科技,4,4,0.008033192867785338,0.75,0.015070799131390275,-0.01307962592302947,1.152234721396345,0.03200705560215655,4,0
688400,凌云光,2,2,0.015525625789361008,1,0.015525625789361008,,,0.03123579757249262,2,0
688336,三生国健,4,4,0.007678219808671144,0.5,0.02313780918888997,-0.0077813695715476805,2.973488018547866,0.03035053869977955,4,0
601168,西部矿业,6,6,0.004768216513313088,0.6666666666666666,0.011135281836596733,-0.007965914133254204,1.3978661645512607,0.02862713519722826,6,0
688301,奕瑞科技,5,5,0.005575270024503309,0.6,0.013922688575133532,-0.006945857801442023,2.0044592004522546,0.02787602228277275,4,1
600352,XD浙江龙,6,6,0.0046282074798310036,0.6666666666666666,0.010742170801757767,-0.0075997191640225226,1.4134957581869312,0.02768935711140008,6,0
002169,智光电气,3,3,0.00899130573608542,0.6666666666666666,0.01398695860412813,-0.001,13.98695860412813,0.027141005032499832,3,0
600547,山东黄金,4,4,0.00663714282326483,0.75,0.011728470271302046,-0.008636839520846817,1.357958573039702,0.02657477476650949,4,0
000060,中金岭南,2,2,0.013017802109839549,0.5,0.02837253321116784,-0.0023369289914887395,12.140947934020508,0.02596929962425576,2,0
300115,长盈精密,2,2,0.012834212179273552,0.5,0.028113022218996586,-0.0024445978604494814,11.500060060523625,0.02559969932457995,2,0
605060,联德股份,2,2,0.012713940081878483,0.5,0.02687253240847054,-0.0014446522447135726,18.601384870861075,0.02538905869949204,2,0
300751,迈为股份,3,3,0.008279535213064829,0.6666666666666666,0.019013351271862766,-0.013188096904531044,1.441705456784317,0.024653736434080642,3,0
600276,恒瑞医药,5,5,0.00477899075573669,0.6,0.014754292177120765,-0.010183961376339423,1.4487773108998303,0.023594997433643128,5,0
002432,九安医疗,3,3,0.007781405841114715,1,0.007781405841114715,,,0.023478305840669123,3,0
300435,中泰股份,4,4,0.005823529571906322,0.75,0.008645697082904339,-0.0026429729610877297,3.2712014879433937,0.02335486620348104,4,0
002440,闰土股份,7,7,0.0032903076298264854,0.7142857142857143,0.007057225308921678,-0.006126986567911496,1.1518264697823994,0.023096854162113045,6,1
601958,金钼股份,5,5,0.004694527785259517,0.4,0.02381255234020596,-0.008050821918038112,2.9577790420196988,0.023030539333537714,5,0
300976,达瑞电子,4,4,0.005687971037878076,0.5,0.014844783628338631,-0.003468841552582479,4.279464312022843,0.022716146362754763,4,0
605277,新亚电子,2,2,0.011172340314186124,1,0.011172340314186124,,,0.022391079805942127,1,1
603158,腾龙股份,2,2,0.011144052430683504,0.5,0.02328810486136701,-0.001,23.28810486136701,0.022264816756505823,2,0
300041,回天新材,3,3,0.007557916680074476,0.6666666666666666,0.0194426800458114,-0.016211610051399372,1.199305928539351,0.022124482399885403,3,0
002555,三七互娱,2,2,0.0110673523631174,0.5,0.029944608711364507,-0.007809903985129706,3.8341839756775435,0.021900840207326633,2,0
002965,祥鑫科技,3,3,0.007163379424405629,0.6666666666666666,0.01486497512417273,-0.008239811975128575,1.8040430011075315,0.021449035204026856,3,0
002064,华峰化学,5,5,0.004256877524855197,0.6,0.009400263259040456,-0.0034582010764226947,2.7182523662749176,0.02123967779469149,5,0
002044,美年健康,3,3,0.007118503318326234,0.3333333333333333,0.03105130360457309,-0.004847896824797192,6.405108179230298,0.021074358469719723,2,1
301571,国科天成,6,6,0.0034224050163438693,0.6666666666666666,0.009035913880510671,-0.0078046127119897335,1.1577658256673475,0.020371975379327,4,2
000977,浪潮信息,5,5,0.003964216377736229,0.8,0.00765662632109837,-0.010805423395712332,0.7085910510583576,0.01972806139740957,5,0
000630,铜陵有色,2,2,0.00981884381922582,1,0.00981884381922582,,,0.019722234440051833,2,0
000960,锡业股份,6,6,0.0033355693286842847,0.6666666666666666,0.010999120931263429,-0.011991533876474003,0.9172405335769785,0.01960485464169981,6,0
603713,密尔克卫,2,2,0.009585921634718941,1,0.009585921634718941,,,0.019258531513162147,1,1
300969,恒帅股份,4,4,0.00473190480967134,0.75,0.006440118839546464,-0.0003927372799540354,16.39803290459259,0.01903948122126642,4,0
301132,满坤科技,3,3,0.006293297595172202,1,0.006293297595172202,,,0.01896168686364552,3,0
001696,宗申动力,8,8,0.002301868220867795,0.5,0.010300479441611332,-0.005696742999875742,1.8081348310492515,0.01812483688768385,7,1
002241,歌尔股份,1,1,0.018088960894635187,1,0.018088960894635187,,,0.018088960894635076,1,0
688138,清溢光电,4,4,0.0045052146902367085,0.5,0.010135272592697198,-0.0011248432122237797,9.010386943314598,0.0180736611272152,3,1
600345,长江通信,2,2,0.008971883847019746,1,0.008971883847019746,,,0.018024210147915554,2,0
600736,苏州高新,4,4,0.004506565222689969,0.5,0.013337611220757717,-0.0043244807753777805,3.0842110101859714,0.017845977999864537,4,0
600862,中航高科,4,4,0.004377855918665935,0.5,0.013013200930008573,-0.004257489092676702,3.0565435745666507,0.017470857653119065,4,0
002155,湖南黄金,3,3,0.0058284696481575304,0.3333333333333333,0.02787348841264381,-0.005194039734085608,5.366437270343838,0.017222170174951534,3,0
601800,中国交建,1,1,0.016741957564260335,1,0.016741957564260335,,,0.016741957564260446,1,0
002466,天齐锂业,2,2,0.008583725064288228,0.5,0.030987930553840193,-0.013820480425263737,2.242174627822234,0.016739182040937717,2,0
