tradeDate,eligibleSymbols,averageUniverseAmount20,averageMarketCap,signaledSymbols,signalCount
2026-06-16,729,1241205932.2923577,52834313185.57363,100,100
2026-06-17,721,1236623623.4010696,53268530899.503685,100,100
2026-06-18,715,1228881273.5636673,53354729036.41454,100,100
2026-06-22,709,1223631238.1940696,52253955676.54766,100,100
2026-06-23,703,1237032561.1364264,54367169121.624146,100,100
2026-06-24,721,1223251172.683555,51845402881.23093,100,100
2026-06-25,719,1206578437.3142874,52208245150.76184,100,100
2026-06-26,713,1178613797.3081238,51603179164.178635,100,100
2026-06-29,726,1237791247.327941,50975234009.61986,100,100
2026-06-30,720,1251094416.8664508,51482644829.20809,100,100
2026-07-01,703,1243327959.5834124,51849098653.1194,100,100
2026-07-02,699,1267711048.8624413,53032410804.05154,100,100
2026-07-03,726,1322804161.7339768,52744494389.20882,100,100
2026-07-06,742,1392137976.0450196,54325773584.90566,100,100
2026-07-07,740,1398192290.4009824,53799191891.89189,100,100
2026-07-08,750,1388727792.280402,52110460000,100,100
2026-07-09,744,1370543154.2441387,51631038978.49462,100,100
2026-07-10,743,1370436829.5622199,51363528936.742935,100,100
2026-07-13,749,1379510809.1530368,51021461949.265686,100,100
2026-07-14,759,1364883291.0392747,49602980237.15415,100,100
2026-07-15,750,1352629499.8274598,50724812000,100,100
2026-07-16,756,1344045653.9114687,50886870370.37037,100,100
