tradeDate,tradeCount,tradedSymbols,dailyReturn,winRate,averageWin,averageLoss,profitLossRatio,rollingMomentumTrades,tailMomentumTrades,nav,cumulativeReturn,drawdown
2026-06-16,370,284,-0.001109988027004491,0.35405405405405405,0.00673822741239161,-0.005411729543995651,1.245115329140518,363,7,0.9988900119729955,-0.0011099880270044604,0
2026-06-17,359,278,-0.0024980816264930316,0.28969359331476324,0.00739120735417419,-0.006531360269588668,1.1316490055814474,305,54,0.9963947031871985,-0.0036052968128015284,-0.0024980816264930095
2026-06-18,265,222,-0.0024128522041265447,0.30943396226415093,0.005672322798782297,-0.006035717505976405,0.9397926250136318,255,10,0.9939905500314331,-0.006009449968566893,-0.004904906328861092
2026-06-22,642,384,0.0003039416155728743,0.4672897196261682,0.006987054981475643,-0.005558438529955813,1.2570175857519443,613,29,0.9942926651250737,-0.005707334874926251,-0.004602455518442072
2026-06-23,160,134,-0.0027411344687265178,0.3,0.007653788355372254,-0.007196101393340278,1.0636020724298783,154,6,0.9915671752286975,-0.008432824771302472,-0.007330974037706106
2026-06-24,344,265,-0.0006099231294555088,0.40988372093023256,0.007001451763122356,-0.005896641650901209,1.18736260021029,336,8,0.9909623954741167,-0.009037604525883314,-0.007936425836534644
2026-06-25,332,250,-0.00018354909383687404,0.39759036144578314,0.009754765378349725,-0.006742836645480007,1.4466857038407914,317,15,0.990780505224401,-0.009219494775599024,-0.008118518206600922
2026-06-26,231,183,-0.0024098809346117227,0.2813852813852814,0.008283127249555926,-0.006596902211544834,1.2556086150648305,201,30,0.9883928421744758,-0.01160715782552424,-0.01050883447896922
2026-06-29,522,385,-0.002027637298448177,0.3218390804597701,0.007288312284958372,-0.006448765914302105,1.1301871368589014,506,16,0.9863887399821636,-0.013611260017836413,-0.012515163672664587
2026-06-30,344,275,-0.0003618974860441899,0.37790697674418605,0.006969870110597955,-0.004815774998023061,1.4472997832039864,314,30,0.9860317683769018,-0.013968231623098237,-0.012872531952438204
2026-07-01,508,334,0.0017318210681438592,0.5334645669291339,0.007252016662563976,-0.004580301320412426,1.5833055852122366,500,8,0.9877393989672361,-0.01226060103276394,-0.011163003806329952
2026-07-02,292,237,-0.0008722705837759427,0.386986301369863,0.008142505337769008,-0.00656316264598029,1.2406374452347317,290,2,0.9868778229450804,-0.013122177054919582,-0.012025537230259009
2026-07-03,343,279,-0.0019979825012778206,0.3294460641399417,0.005987124025675538,-0.005921100055824459,1.0111506255980478,337,6,0.984906058323937,-0.015093941676063038,-0.013999492918582379
2026-07-06,262,212,0.0004216140885622024,0.44656488549618323,0.0059969454070945925,-0.004077101527081174,1.4708844916569561,252,10,0.9853213085940367,-0.01467869140596334,-0.01358378121346726
2026-07-07,188,159,-0.003845667923619771,0.18085106382978725,0.006736210404583446,-0.006181926775301001,1.0896619532112553,140,48,0.9815320900431175,-0.018467909956882522,-0.017377210425392975
2026-07-08,230,188,-0.0013461666473200244,0.4,0.006691366642424602,-0.006704522173816442,0.9980378122331793,225,5,0.9802107842802272,-0.019789215719772768,-0.018699984451614804
2026-07-09,899,449,0.0014722987416013501,0.5361512791991101,0.0058198794233106236,-0.003552962382100956,1.6380357564802537,803,96,0.981653947384427,-0.018346052615572983,-0.017255217673589618
2026-07-10,316,265,-0.0011275296787704781,0.3829113924050633,0.007049957233622948,-0.00620176514748639,1.1367662376703083,312,4,0.9805471034244689,-0.019452896575531065,-0.01836329158231942
2026-07-13,155,140,-0.0076968229021536425,0.2064516129032258,0.0061211349853162456,-0.011291738775316537,0.5420896734431101,147,8,0.9730000060221909,-0.026999993977809056,-0.025918775481263423
2026-07-14,410,292,-0.00011488403586260844,0.44634146341463415,0.006012915059813089,-0.005054915905944765,1.189518316762042,380,30,0.9728882238546048,-0.027111776145395172,-0.02603068186359403
2026-07-15,262,212,-0.002522090030605118,0.29389312977099236,0.006903487867986807,-0.006445168399208233,1.0711105498554354,233,29,0.9704345121643281,-0.029565487835671922,-0.028487120170981095
2026-07-16,220,185,-0.0010193271715890381,0.39090909090909093,0.004703824016228225,-0.004692394351829969,1.0024357851325516,216,4,0.9694453218978312,-0.03055467810216883,-0.029477409646939567
