symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
600895,张江高科,9,9,0.009582676089741924,0.6666666666666666,0.015725533258448648,-0.0027030382476715214,5.817725025531953,0.08767867652848871,9,0
300580,贝斯特,13,8,0.006383818833561052,0.6153846153846154,0.015595714737993649,-0.008355214613531104,1.8665845773412808,0.08442151950576338,13,0
688677,海泰新光,10,6,0.007378394576014446,0.8,0.01108873566675439,-0.007462969786945328,1.485834189782125,0.07555938911723126,9,1
002993,奥海科技,7,5,0.009011576343561502,0.8571428571428571,0.011696429624574622,-0.00709754334251722,1.6479546598198522,0.06441357315579732,6,1
300088,长信科技,5,4,0.012519433508903078,0.8,0.018386863517269647,-0.010950286524563202,1.6791216810651521,0.06262251314897149,5,0
002057,中钢天源,9,4,0.006847006769355901,0.4444444444444444,0.022883353504948634,-0.005982070619118285,3.825323196923656,0.06172320026759537,7,2
603444,吉比特,13,10,0.0046167431500203976,0.6153846153846154,0.00961943771090401,-0.003387568147393382,2.8396292834155497,0.06121626006635572,13,0
300041,回天新材,8,7,0.0070506662273083776,0.625,0.015166367318215213,-0.0064755022575363475,2.3421144360754758,0.0567388465974501,8,0
002245,蔚蓝锂芯,9,8,0.0059819706446997654,0.4444444444444444,0.019402871844505287,-0.00475475031514465,4.080734120297336,0.05405159762127121,9,0
688209,英集芯,9,8,0.005830931209085992,0.4444444444444444,0.016958873058938506,-0.0030714222707960196,5.5215048807155,0.052996573484557,9,0
601669,中国电建,6,5,0.008802083333001512,0.3333333333333333,0.03565220471408215,-0.004622977357538804,7.711957458745329,0.05286009901415256,6,0
000661,长春高新,10,6,0.005104281967857049,0.7,0.00900604284145907,-0.003999826737214329,2.251608240343758,0.051913935303846914,9,1
601231,环旭电子,12,10,0.0041943853856083275,0.5833333333333334,0.012480758386482946,-0.007406536815616138,1.6851004318466607,0.050360936949195745,11,1
300304,云意电气,13,10,0.0038882441823127317,0.46153846153846156,0.015537300577464127,-0.006096661299245608,2.5484933170531696,0.050178924239344225,13,0
000417,合百集团,10,9,0.005011009561610891,0.5,0.014740510283753339,-0.004718491160531557,3.123988110235807,0.04966145499594221,8,2
601319,中国人保,8,6,0.006070470529180999,0.5,0.015245535202006832,-0.0031045941436448335,4.9106371063717775,0.0491643653347833,8,0
000021,深科技,5,3,0.009643828690658562,0.8,0.01301118298560261,-0.0038255884891176253,3.4010931971942564,0.048938935232936354,4,1
001696,宗申动力,15,9,0.0031624860946273627,0.5333333333333333,0.010780845650009807,-0.005544210540095429,1.9445231331031383,0.04753714328083758,13,2
001400,江顺科技,4,4,0.011983460214887026,0.25,0.06362966071234799,-0.005231939950933295,12.161771983066714,0.047003021977149784,4,0
600779,水井坊,1,1,0.045657388044045066,1,0.045657388044045066,,,0.04565738804404518,1,0
688400,凌云光,6,2,0.007385599059686184,0.8333333333333334,0.010095288251304856,-0.006162846898407181,1.6380884383017913,0.04490889348942684,6,0
301682,宏明电子,11,6,0.004023368734872745,0.7272727272727273,0.007825218268439765,-0.006114896687972641,1.2796975431868123,0.044869460630594826,11,0
600667,太极实业,3,2,0.01452979526231087,0.3333333333333333,0.0441370298247411,-0.0002738220189042453,161.18875319583296,0.04356525930555,3,0
603916,苏博特,5,4,0.008691810521605902,0.4,0.031094783648813906,-0.006243504896532765,4.980341036663865,0.04328935909512821,5,0
300863,卡倍亿,7,5,0.005949107086014657,0.8571428571428571,0.007894247145317465,-0.005721733269802186,1.3796950632042286,0.042296804413608724,7,0
300976,达瑞电子,9,7,0.00467927568462862,0.5555555555555556,0.014509087333433679,-0.007607988876377703,1.907085771179743,0.04200983156178095,9,0
000551,创元科技,6,6,0.006572970711738087,0.6666666666666666,0.01159214611192011,-0.003465380088625957,3.3451297737779933,0.03989646667476077,6,0
601001,晋控煤业,13,7,0.0029653145731249543,0.5384615384615384,0.012481144154133119,-0.008136486604717904,1.5339721873192766,0.03826668896038887,12,1
600595,中孚实业,8,7,0.004624524327922791,0.5,0.011049047892906116,-0.0017999992370605336,6.138362542280644,0.03727017956295153,7,1
600089,特变电工,9,6,0.0041115377968048055,0.5555555555555556,0.008783833820143739,-0.001728832232368859,5.080790174826891,0.03724136140049539,9,0
000963,华东医药,21,12,0.001772480789540166,0.47619047619047616,0.011019957305819528,-0.006634316043441072,1.6610540157661409,0.03672371253342743,18,3
000758,中色股份,10,9,0.0036487469111316285,0.5,0.010412752834344396,-0.003115259012081139,3.3424998672544373,0.03664062618838737,10,0
601888,中国中免,12,8,0.003024170756793306,0.6666666666666666,0.008119987285122476,-0.007167462299865035,1.132895709165485,0.03637274348414854,12,0
300435,中泰股份,6,5,0.005956814211842891,0.8333333333333334,0.007676771646429015,-0.0026429729610877297,2.904597118265485,0.036128239743982604,6,0
603158,腾龙股份,10,7,0.0035818852585502215,0.5,0.010518321947405096,-0.0033545514303046525,3.135537542332403,0.03597553080594662,8,2
002606,大连电瓷,16,11,0.002201255345050314,0.4375,0.008204587931364915,-0.002468003333194375,3.3243828405797125,0.035321011112752654,15,1
601666,平煤股份,6,4,0.00586628930281267,0.8333333333333334,0.009785857486998607,-0.01373155161811701,0.7126548957575508,0.03524638053918161,4,2
300907,康平科技,1,1,0.03425460488958654,1,0.03425460488958654,,,0.03425460488958665,1,0
