tradeDate,eligibleSymbols,averageUniverseAmount20,averageMarketCap,signaledSymbols,signalCount
2026-06-16,1027,1238931608.9896672,46984588125.59372,459,757
2026-06-17,1029,1313468579.512729,52188021718.20128,480,788
2026-06-18,930,1248333671.285395,49664237408.88153,393,608
2026-06-22,1369,1169758827.1594338,59021409199.41656,519,1179
2026-06-23,808,1215104063.5921197,50997014323.83264,252,357
2026-06-24,955,1287510909.4416475,49847225865.28877,441,675
2026-06-25,961,1158887682.7181292,52542515698.327126,421,663
2026-06-26,898,1170823913.0841553,50568699185.966,350,535
2026-06-29,1152,1212974939.9522312,52580383684.05726,482,908
2026-06-30,1026,1237372823.1703799,49316221503.73232,468,774
2026-07-01,1135,1202030318.7536347,54227110488.41314,485,917
2026-07-02,905,1274316485.052034,54032114504.534615,385,591
2026-07-03,1006,1298551905.7640738,53461769182.912704,464,744
2026-07-06,975,1348531304.4880607,63471192820.51282,364,597
2026-07-07,880,1452156144.121633,52762432954.545456,357,497
2026-07-08,953,1409776393.6104953,51460398740.81847,373,576
2026-07-09,1762,1392415498.7708607,47174166855.84563,567,1585
2026-07-10,920,1307007201.807595,51625916304.347824,443,620
2026-07-13,827,1363411353.1448903,52101107617.89601,289,367
2026-07-14,1169,1365774095.342903,51355818648.41745,518,928
2026-07-15,967,1291787436.2488923,52487522233.71251,443,660
2026-07-16,897,1282198271.3577344,52280043478.26087,342,483
