code,tradeDate,barStart,barEnd,open,high,low,close,volume,amount,sourceMinutes,completeBar
601899.SH,2026-06-17,2026-06-17 09:31:00,2026-06-17 09:35:00,30.500000,30.590000,30.120000,30.340000,21167300,643927736.00,5,true
601899.SH,2026-06-17,2026-06-17 09:36:00,2026-06-17 09:40:00,30.380000,30.740000,30.350000,30.580000,14813300,452539528.00,5,true
601899.SH,2026-06-17,2026-06-17 09:41:00,2026-06-17 09:45:00,30.590000,30.610000,30.390000,30.450000,6506800,198340820.00,5,true
601899.SH,2026-06-17,2026-06-17 09:46:00,2026-06-17 09:50:00,30.490000,30.690000,30.490000,30.670000,8773000,268800524.00,5,true
601899.SH,2026-06-17,2026-06-17 09:51:00,2026-06-17 09:55:00,30.700000,30.710000,30.540000,30.540000,5684400,174229676.00,5,true
601899.SH,2026-06-17,2026-06-17 09:56:00,2026-06-17 10:00:00,30.540000,30.800000,30.530000,30.800000,8355400,256680098.00,5,true
601899.SH,2026-06-17,2026-06-17 10:01:00,2026-06-17 10:05:00,30.790000,30.810000,30.690000,30.710000,5485100,168663820.00,5,true
601899.SH,2026-06-17,2026-06-17 10:06:00,2026-06-17 10:10:00,30.720000,30.840000,30.720000,30.830000,5679000,174845594.00,5,true
601899.SH,2026-06-17,2026-06-17 10:11:00,2026-06-17 10:15:00,30.830000,30.950000,30.790000,30.910000,8051300,248648672.00,5,true
601899.SH,2026-06-17,2026-06-17 10:16:00,2026-06-17 10:20:00,30.920000,30.920000,30.810000,30.820000,5365300,165520752.00,5,true
601899.SH,2026-06-17,2026-06-17 10:21:00,2026-06-17 10:25:00,30.820000,30.830000,30.600000,30.600000,4841800,148644668.00,5,true
601899.SH,2026-06-17,2026-06-17 10:26:00,2026-06-17 10:30:00,30.600000,30.630000,30.600000,30.620000,3489000,106808178.00,5,true
601899.SH,2026-06-17,2026-06-17 10:31:00,2026-06-17 10:35:00,30.620000,30.630000,30.530000,30.530000,4065300,124321740.00,5,true
601899.SH,2026-06-17,2026-06-17 10:36:00,2026-06-17 10:40:00,30.530000,30.590000,30.490000,30.500000,4399300,134299010.00,5,true
601899.SH,2026-06-17,2026-06-17 10:41:00,2026-06-17 10:45:00,30.500000,30.570000,30.500000,30.550000,2458000,75052430.00,5,true
601899.SH,2026-06-17,2026-06-17 10:46:00,2026-06-17 10:50:00,30.540000,30.550000,30.450000,30.470000,3854200,117537774.00,5,true
601899.SH,2026-06-17,2026-06-17 10:51:00,2026-06-17 10:55:00,30.470000,30.580000,30.440000,30.570000,3102600,94604913.00,5,true
601899.SH,2026-06-17,2026-06-17 10:56:00,2026-06-17 11:00:00,30.580000,30.770000,30.570000,30.750000,4769700,146410726.00,5,true
601899.SH,2026-06-17,2026-06-17 11:01:00,2026-06-17 11:05:00,30.770000,30.770000,30.590000,30.590000,2820800,86555867.00,5,true
601899.SH,2026-06-17,2026-06-17 11:06:00,2026-06-17 11:10:00,30.580000,30.580000,30.500000,30.520000,2765000,84425644.00,5,true
601899.SH,2026-06-17,2026-06-17 11:11:00,2026-06-17 11:15:00,30.540000,30.590000,30.530000,30.550000,2237600,68379714.00,5,true
601899.SH,2026-06-17,2026-06-17 11:16:00,2026-06-17 11:20:00,30.540000,30.630000,30.530000,30.630000,2500500,76445481.00,5,true
601899.SH,2026-06-17,2026-06-17 11:21:00,2026-06-17 11:25:00,30.630000,30.720000,30.600000,30.600000,3674200,112638129.00,5,true
601899.SH,2026-06-17,2026-06-17 11:26:00,2026-06-17 11:30:00,30.620000,30.690000,30.580000,30.650000,2212200,67812898.00,5,true
601899.SH,2026-06-17,2026-06-17 13:01:00,2026-06-17 13:05:00,30.640000,30.650000,30.410000,30.410000,5447300,166328551.00,5,true
601899.SH,2026-06-17,2026-06-17 13:06:00,2026-06-17 13:10:00,30.410000,30.420000,30.320000,30.340000,4299900,130580478.00,5,true
601899.SH,2026-06-17,2026-06-17 13:11:00,2026-06-17 13:15:00,30.340000,30.450000,30.310000,30.450000,3197600,97062658.00,5,true
601899.SH,2026-06-17,2026-06-17 13:16:00,2026-06-17 13:20:00,30.460000,30.470000,30.400000,30.440000,2746300,83596104.00,5,true
601899.SH,2026-06-17,2026-06-17 13:21:00,2026-06-17 13:25:00,30.440000,30.470000,30.370000,30.370000,2249500,68430986.00,5,true
601899.SH,2026-06-17,2026-06-17 13:26:00,2026-06-17 13:30:00,30.370000,30.380000,30.330000,30.380000,2766400,83969329.00,5,true
601899.SH,2026-06-17,2026-06-17 13:31:00,2026-06-17 13:35:00,30.380000,30.520000,30.370000,30.470000,3525200,107387898.00,5,true
601899.SH,2026-06-17,2026-06-17 13:36:00,2026-06-17 13:40:00,30.480000,30.480000,30.410000,30.470000,4058200,123551856.00,5,true
601899.SH,2026-06-17,2026-06-17 13:41:00,2026-06-17 13:45:00,30.470000,30.480000,30.380000,30.380000,2873800,87400003.00,5,true
601899.SH,2026-06-17,2026-06-17 13:46:00,2026-06-17 13:50:00,30.390000,30.440000,30.350000,30.440000,3045400,92489711.00,5,true
