instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
2,SZ,000876,新 希 望,农牧饲渔,2000-01-04,16,16.2,15.9,16.16,15.91,230910,3718834.5,0.5787,2262723200,644808240,44.218605,4.770264,5.505815,0.37,2000
3,SZ,000408,藏格矿业,化肥行业,2000-01-04,10.2,10.48,10.01,10.39,10.2,272778,2808203.34,0.882777,1078731360,321051000,43.033388,3.511325,4.265013,0.95,2000
21,SH,600893,航发动力,航天航空,2000-01-04,6.18,6.3,6.1,6.27,6.2,232506,1452975,0.203963,1472891123.55,714745076.1,55.279158,1.888113,2.19975,0.78,2000
30,SZ,000800,一汽解放,汽车整车,2000-01-04,4.75,4.87,4.62,4.82,4.74,1851786,8831178.68,0.339256,7844550000,2630933992.96,16.629496,1.670905,2.038101,1.29,2000
40,SH,600875,东方电气,电源设备,2000-01-04,6.95,7.4,6.94,7.23,6.91,3032261,21940709,5.053768,3253500000,433800000,71.977883,2.660846,3.587533,1.76,2000
49,SH,600111,北方稀土,小金属,2000-01-04,9.22,9.95,9.1,9.93,9.19,1208055,11776350,1.078621,3619385700,1112160000,56.492128,5.724554,18.115158,4.45,2000
50,SZ,000425,徐工机械,工程机械,2000-01-04,15.4,16.82,15.32,16.28,15.29,1594259,26277916.83,2.629439,2871311674.88,987075056.88,44.082137,6.038416,2.529374,3.52,2000
60,SH,600732,爱旭股份,光伏设备,2000-01-04,7.2,7.45,7.1,7.39,7.28,266372,1954822,0.417511,1409731180,471482000,-220.395417,3.334446,2.875234,1.64,2000
62,SH,600703,三安光电,光学光电子,2000-01-04,6.5,6.6,6.35,6.58,6.45,238957,1555073,0.412478,786418570,381192560,-4.343653,4.313609,4.926656,1.13,2000
65,SH,600085,同仁堂,中药,2000-01-04,19.45,19.6,18.98,19.59,19.55,330844,6419479,0.551407,4701600000,1175400000,35.750619,6.28427,6.300555,2.78,2000
67,SZ,000001,平安银行,银行,2000-01-04,17.5,18.55,17.2,18.29,17.45,8216086,147325356.78,0.767206,28383283312.68,19586944284.09,45.250737,7.245163,15.733385,1.41,2000
70,SZ,000630,铜陵有色,有色金属,2000-01-04,7.3,7.43,7.16,7.39,7.26,346958,2537893.45,0.342242,2689960000,749183124.4,22.442432,2.502394,2.017692,0.73,2000
71,SH,600061,国投资本,证券,2000-01-04,9,9.34,8.9,9.28,9,398147,3633602,1.105964,1224960000,334080000,56.831497,3.586712,2.83727,0.92,2000
72,SH,600115,中国东航,航空机场,2000-01-04,3.9,3.99,3.85,3.99,3.9,1610000,6297911,0.536742,19419130500,1196832420,-88.669966,2.948406,2.13886,2.66,2000
77,SZ,000625,长安汽车,汽车整车,2000-01-04,3.94,4.03,3.89,4,3.96,670180,2658301.4,0.399076,4906664000,671731200,-190.912059,2.076829,1.330343,1.5,2000
81,SH,600887,伊利股份,食品饮料,2000-01-04,20.5,20.5,19.94,20.47,20,435528,8800997,0.625936,3002356802.9,1424307349.04,36.65036,4.092622,2.946878,0.45,2000
94,SH,600009,上海机场,航空机场,2000-01-04,9.66,9.93,9.5,9.8,9.66,2925700,28609226,0.650156,13230000000,4410000000,22.976112,3.657968,18.152561,0.7,2000
101,SH,600660,福耀玻璃,玻璃玻纤,2000-01-04,8.6,8.98,8.6,8.98,8.57,1345859,11885848,1.654287,2287435106.74,730575524.02,115.686758,6.094053,3.999713,3.62,2000
104,SH,600733,北汽蓝谷,汽车整车,2000-01-04,15.45,16.06,15.1,15.89,16.49,622895,9627480,0.824414,3139641540,1200586826.25,74.779608,11.365422,16.860069,2.37,2000
106,SH,600196,复星医药,化学制药,2000-01-04,17.9,18.65,17.7,18.56,17.98,793110,14595936,1.059812,4195488000,1388937600,47.156069,7.442846,10.176606,2.75,2000
112,SH,600132,重庆啤酒,酿酒行业,2000-01-04,20.5,20.5,19.8,20.24,20.76,307008,6147411,0.590936,3458449280,1051524874.4,48.017776,6.548916,11.029706,1.36,2000
113,SZ,000002,万  科Ａ,房地产开发,2000-01-04,9.8,10.4,9.6,10.3,9.75,4574708,46053451.62,1.462787,5619036054.3,3221214275,27.4171,2.710654,2.40654,2.62,2000
116,SZ,000750,国海证券,证券,2000-01-04,13.06,13.8,13,13.56,13.05,486206,6605852.71,0.93718,1458089172,703488609.96,44.996745,3.573112,10.352677,1.13,2000
126,SZ,000596,古井贡酒,酿酒行业,2000-01-04,14.62,15.2,14.6,15.06,14.72,62490,936258.9,0.31245,3539100000,301200000,26.59424,3.436328,4.267305,1.47,2000
130,SH,600089,特变电工,电网设备,2000-01-04,22.6,23.2,22.6,23.09,22.8,193882,4447948,0.310708,3447599302.4,1440816000,46.611704,7.076756,5.2069,2.14,2000
132,SZ,000776,广发证券,证券,2000-01-04,13.8,14.12,13.72,14,13.75,449602,6277636.6,0.965557,1718359916,651896336,22.915637,4.238159,25.254166,1.93,2000
138,SH,600741,华域汽车,汽车零部件,2000-01-04,11.8,11.84,11.32,11.75,12,934972,10785083,0.779143,3520300000,1410000000,26.131292,4.301883,2.660849,1.07,2000
142,SH,600188,兖矿能源,煤炭行业,2000-01-04,7.1,7.35,6.92,7.27,7.07,409550,2932836,0.513356,18902000000,579993330,23.536419,3.17265,4.252796,1.37,2000
144,SH,600795,国电电力,电力行业,2000-01-04,21.1,21.68,20.85,21.66,21.2,156545,3344041,0.244994,5514462720,1384022016,30.133658,13.25438,14.417942,1.15,2000
146,SH,600150,中国船舶,船舶制造,2000-01-04,6.2,6.55,6.2,6.44,6.31,229280,1476413,0.297766,1555215692.8,495880000,41.947217,2.757431,2.235233,1.54,2000
149,SZ,000066,中国长城,计算机设备,2000-01-04,25.18,26.8,24.85,26.41,25,2630336,68327529.12,2.546543,7620896010,2727901048.6,27.912862,8.773092,6.158137,3.5,2000
151,SH,600176,中国巨石,玻璃玻纤,2000-01-04,6.2,6.4,6.2,6.39,6.18,250174,1589614,0.357391,1341900000,447300000,36.602729,2.930652,4.241988,0.87,2000
163,SH,600809,山西汾酒,酿酒行业,2000-01-04,5.98,6.14,5.91,6.13,5.98,390866,2367092,0.546666,2653824867.86,438295000,394.215476,3.387301,9.659039,1.3,2000
166,SZ,000708,中信特钢,钢铁行业,2000-01-04,4.74,4.85,4.66,4.8,4.74,338700,1611396.25,0.26881,2157160704,604800000,35.462521,1.229873,1.407087,1.35,2000
178,SH,600760,中航沈飞,航天航空,2000-01-04,7.8,7.9,7.71,7.86,7.7,217729,1700009,0.166432,2145779787.78,1028257673.82,34.11766,2.618451,6.483126,1.32,2000
184,SZ,000768,中航西飞,航天航空,2000-01-04,13.65,13.68,13.18,13.6,13.81,1566724,21107245.54,1.340421,4508400000,1589608800,69.175557,7.524251,11.026891,0.82,2000
198,SZ,000733,振华科技,电子元件,2000-01-04,12.8,13.6,12.71,13.49,12.97,3494290,46640874.86,2.627286,4223988800,1794170000,49.626735,3.590454,8.318103,2.55,2000
207,SH,601607,上海医药,医药商业,2000-01-04,12.63,12.98,12.39,12.95,12.8,978747,12457544,0.942235,2972702349.75,1345181250,37.756073,4.499574,0.673564,1.36,2000
