signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2022-07-01,,ADD,801770,通信,,1,0,0.2,0,0.16852145454174527
2022-07-01,,ADD,801950,煤炭,,2,0,0.2,0,0.10441912339052133
2022-07-01,,ADD,801880,汽车,,3,0,0.2,0,0.27317898353254505
2022-07-01,,ADD,801030,基础化工,,4,0,0.2,0,0.256514252444013
2022-07-01,,ADD,801050,有色金属,,5,0,0.2,0,0.19736618609117537
2022-08-01,2022-07-01,ADD,801160,公用事业,,3,0,0.2,0,0.24634358792917146
2022-08-01,2022-07-01,ADD,801960,石油石化,,4,0,0.2,0,0.2563190548314342
2022-08-01,2022-07-01,ADD,801110,家用电器,,5,0,0.2,0,0.12963970499519303
2022-08-01,2022-07-01,REMOVE,801880,汽车,3,,0.2,0,0.27317898353254505,0
2022-08-01,2022-07-01,REMOVE,801030,基础化工,4,,0.2,0,0.256514252444013,0
2022-08-01,2022-07-01,REMOVE,801050,有色金属,5,,0.2,0,0.19736618609117537,0
2022-08-01,2022-07-01,REWEIGHT,801950,煤炭,2,1,0.2,0.2,0.10441912339052133,0.145458098186335
2022-08-01,2022-07-01,REWEIGHT,801770,通信,1,2,0.2,0.2,0.16852145454174527,0.22223955405786625
2022-09-01,2022-08-01,ADD,801170,交通运输,,3,0,0.2,0,0.14918608136664768
2022-09-01,2022-08-01,ADD,801780,银行,,5,0,0.2,0,0.45746020358136724
2022-09-01,2022-08-01,REMOVE,801160,公用事业,3,,0.2,0,0.24634358792917146,0
2022-09-01,2022-08-01,REMOVE,801110,家用电器,5,,0.2,0,0.12963970499519303,0
2022-09-01,2022-08-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.145458098186335,0.09500398352841023
2022-09-01,2022-08-01,REWEIGHT,801960,石油石化,4,2,0.2,0.2,0.2563190548314342,0.15647280416224996
2022-09-01,2022-08-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.22223955405786625,0.1418769273613247
2022-10-01,2022-09-01,ADD,801720,建筑装饰,,5,0,0.2,0,0.13770800136176653
2022-10-01,2022-09-01,REMOVE,801780,银行,5,,0.2,0,0.45746020358136724,0
2022-10-01,2022-09-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.09500398352841023,0.13695031105815458
2022-10-01,2022-09-01,REWEIGHT,801770,通信,4,2,0.2,0.2,0.1418769273613247,0.2412295976255019
2022-10-01,2022-09-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.15647280416224996,0.24165632513521865
2022-10-01,2022-09-01,REWEIGHT,801170,交通运输,3,4,0.2,0.2,0.14918608136664768,0.24245576481935838
2022-11-01,2022-10-01,ADD,801180,房地产,,1,0,0.2,0,0.08974061375422239
2022-11-01,2022-10-01,ADD,801780,银行,,2,0,0.2,0,0.48485478083061584
2022-11-01,2022-10-01,REMOVE,801950,煤炭,1,,0.2,0,0.13695031105815458,0
2022-11-01,2022-10-01,REMOVE,801960,石油石化,3,,0.2,0,0.24165632513521865,0
2022-11-01,2022-10-01,REWEIGHT,801720,建筑装饰,5,3,0.2,0.2,0.13770800136176653,0.10003153305776748
2022-11-01,2022-10-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.2412295976255019,0.16173741513826398
2022-11-01,2022-10-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.24245576481935838,0.16363565721913043
2022-12-01,2022-11-01,ADD,801790,非银金融,,4,0,0.2,0,0.2544060848847694
2022-12-01,2022-11-01,REMOVE,801180,房地产,1,,0.2,0,0.08974061375422239,0
2022-12-01,2022-11-01,REWEIGHT,801780,银行,2,1,0.2,0.2,0.48485478083061584,0.4061409112222085
2022-12-01,2022-11-01,REWEIGHT,801170,交通运输,5,2,0.2,0.2,0.16363565721913043,0.13641306251907506
2022-12-01,2022-11-01,REWEIGHT,801720,建筑装饰,3,3,0.2,0.2,0.10003153305776748,0.07691347483312477
2022-12-01,2022-11-01,REWEIGHT,801770,通信,4,5,0.2,0.2,0.16173741513826398,0.12612646654082216
2023-01-01,2022-12-01,ADD,801180,房地产,,3,0,0.2,0,0.07483759631728705
2023-01-01,2022-12-01,ADD,801960,石油石化,,4,0,0.2,0,0.14662606722958907
2023-01-01,2022-12-01,ADD,801710,建筑材料,,5,0,0.2,0,0.05035114468431989
2023-01-01,2022-12-01,REMOVE,801170,交通运输,2,,0.2,0,0.13641306251907506,0
2023-01-01,2022-12-01,REMOVE,801720,建筑装饰,3,,0.2,0,0.07691347483312477,0
2023-01-01,2022-12-01,REMOVE,801770,通信,5,,0.2,0,0.12612646654082216,0
2023-01-01,2022-12-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4061409112222085,0.4417164206447028
2023-01-01,2022-12-01,REWEIGHT,801790,非银金融,4,2,0.2,0.2,0.2544060848847694,0.28646877112410113
2023-02-01,2023-01-01,ADD,801770,通信,,3,0,0.2,0,0.1517270980089403
2023-02-01,2023-01-01,ADD,801040,钢铁,,4,0,0.2,0,0.04275382466706229
2023-02-01,2023-01-01,REMOVE,801180,房地产,3,,0.2,0,0.07483759631728705,0
2023-02-01,2023-01-01,REMOVE,801710,建筑材料,5,,0.2,0,0.05035114468431989,0
2023-02-01,2023-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4417164206447028,0.4012392802679699
2023-02-01,2023-01-01,REWEIGHT,801790,非银金融,2,2,0.2,0.2,0.28646877112410113,0.266247610243042
2023-02-01,2023-01-01,REWEIGHT,801960,石油石化,4,5,0.2,0.2,0.14662606722958907,0.13803218681298554
2023-03-01,2023-02-01,ADD,801720,建筑装饰,,1,0,0.2,0,0.12037653375997641
2023-03-01,2023-02-01,ADD,801760,传媒,,5,0,0.2,0,0.09519356617301851
2023-03-01,2023-02-01,REMOVE,801780,银行,1,,0.2,0,0.4012392802679699,0
