signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2022-01-01,,ADD,801960,石油石化,,1,0,0.2,0,0.1361415656982953
2022-01-01,,ADD,801950,煤炭,,2,0,0.2,0,0.07115096665421917
2022-01-01,,ADD,801180,房地产,,3,0,0.2,0,0.10509029513172578
2022-01-01,,ADD,801720,建筑装饰,,4,0,0.2,0,0.10469417019946951
2022-01-01,,ADD,801780,银行,,5,0,0.2,0,0.5829230023162902
2022-02-01,2022-01-01,REWEIGHT,801960,石油石化,1,1,0.2,0.2,0.1361415656982953,0.14543365690117177
2022-02-01,2022-01-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.07115096665421917,0.08019816854504612
2022-02-01,2022-01-01,REWEIGHT,801720,建筑装饰,4,3,0.2,0.2,0.10469417019946951,0.10466724577598799
2022-02-01,2022-01-01,REWEIGHT,801780,银行,5,4,0.2,0.2,0.5829230023162902,0.5680408343938868
2022-02-01,2022-01-01,REWEIGHT,801180,房地产,3,5,0.2,0.2,0.10509029513172578,0.10166009438390729
2022-03-01,2022-02-01,REWEIGHT,801780,银行,4,1,0.2,0.2,0.5680408343938868,0.5636407778560211
2022-03-01,2022-02-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.08019816854504612,0.08935230790224166
2022-03-01,2022-02-01,REWEIGHT,801180,房地产,5,3,0.2,0.2,0.10166009438390729,0.10989203802736323
2022-03-01,2022-02-01,REWEIGHT,801960,石油石化,1,4,0.2,0.2,0.14543365690117177,0.13312088729233826
2022-03-01,2022-02-01,REWEIGHT,801720,建筑装饰,3,5,0.2,0.2,0.10466724577598799,0.10399398892203593
2022-04-01,2022-03-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5636407778560211,0.5426648630991067
2022-04-01,2022-03-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.08935230790224166,0.08790171821781666
2022-04-01,2022-03-01,REWEIGHT,801720,建筑装饰,5,3,0.2,0.2,0.10399398892203593,0.10142855533222803
2022-04-01,2022-03-01,REWEIGHT,801180,房地产,3,4,0.2,0.2,0.10989203802736323,0.0994105626163677
2022-04-01,2022-03-01,REWEIGHT,801960,石油石化,4,5,0.2,0.2,0.13312088729233826,0.1685943007344809
2022-05-01,2022-04-01,ADD,801170,交通运输,,5,0,0.2,0,0.25939716795428536
2022-05-01,2022-04-01,REWEIGHT,801950,煤炭,2,1,0.2,0.2,0.08790171821781666,0.14980987727656161
2022-05-01,2022-04-01,REWEIGHT,801960,石油石化,5,2,0.2,0.2,0.1685943007344809,0.28869823574414805
2022-05-01,2022-04-01,REWEIGHT,801180,房地产,4,3,0.2,0.2,0.0994105626163677,0.14534495933283584
2022-05-01,2022-04-01,REWEIGHT,801720,建筑装饰,3,4,0.2,0.2,0.10142855533222803,0.15674975969216912
2022-06-01,2022-05-01,ADD,801710,建筑材料,,5,0,0.2,0,0.11194397255155908
2022-06-01,2022-05-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.14980987727656161,0.15994064178866563
2022-06-01,2022-05-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.28869823574414805,0.2848494680022755
2022-06-01,2022-05-01,REWEIGHT,801170,交通运输,5,3,0.2,0.2,0.25939716795428536,0.27939468338556406
2022-06-01,2022-05-01,REWEIGHT,801720,建筑装饰,4,4,0.2,0.2,0.15674975969216912,0.16387123427193556
2022-07-01,2022-06-01,ADD,801770,通信,,1,0,0.2,0,0.16852145454174527
2022-07-01,2022-06-01,ADD,801880,汽车,,3,0,0.2,0,0.27317898353254505
2022-07-01,2022-06-01,ADD,801030,基础化工,,4,0,0.2,0,0.256514252444013
2022-07-01,2022-06-01,ADD,801050,有色金属,,5,0,0.2,0,0.19736618609117537
2022-07-01,2022-06-01,REWEIGHT,801950,煤炭,1,2,0.2,0.2,0.15994064178866563,0.10441912339052133
2022-08-01,2022-07-01,ADD,801160,公用事业,,3,0,0.2,0,0.24634358792917146
2022-08-01,2022-07-01,ADD,801960,石油石化,,4,0,0.2,0,0.2563190548314342
2022-08-01,2022-07-01,ADD,801110,家用电器,,5,0,0.2,0,0.12963970499519303
2022-08-01,2022-07-01,REWEIGHT,801950,煤炭,2,1,0.2,0.2,0.10441912339052133,0.145458098186335
2022-08-01,2022-07-01,REWEIGHT,801770,通信,1,2,0.2,0.2,0.16852145454174527,0.2222395540578662
2022-09-01,2022-08-01,ADD,801170,交通运输,,3,0,0.2,0,0.1491860813666477
2022-09-01,2022-08-01,ADD,801780,银行,,5,0,0.2,0,0.45746020358136724
2022-09-01,2022-08-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.145458098186335,0.09500398352841023
2022-09-01,2022-08-01,REWEIGHT,801960,石油石化,4,2,0.2,0.2,0.2563190548314342,0.15647280416224996
2022-09-01,2022-08-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.2222395540578662,0.1418769273613248
2022-10-01,2022-09-01,ADD,801720,建筑装饰,,5,0,0.2,0,0.13770800136176653
2022-10-01,2022-09-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.09500398352841023,0.13695031105815458
2022-10-01,2022-09-01,REWEIGHT,801770,通信,4,2,0.2,0.2,0.1418769273613248,0.2412295976255019
2022-10-01,2022-09-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.15647280416224996,0.24165632513521865
2022-10-01,2022-09-01,REWEIGHT,801170,交通运输,3,4,0.2,0.2,0.1491860813666477,0.24245576481935838
2022-11-01,2022-10-01,ADD,801180,房地产,,1,0,0.2,0,0.08974061375422238
2022-11-01,2022-10-01,ADD,801780,银行,,2,0,0.2,0,0.48485478083061584
2022-11-01,2022-10-01,REWEIGHT,801720,建筑装饰,5,3,0.2,0.2,0.13770800136176653,0.10003153305776746
2022-11-01,2022-10-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.2412295976255019,0.1617374151382639
2022-11-01,2022-10-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.24245576481935838,0.16363565721913037
2022-12-01,2022-11-01,ADD,801790,非银金融,,4,0,0.2,0,0.2544060848847694
2022-12-01,2022-11-01,REWEIGHT,801780,银行,2,1,0.2,0.2,0.48485478083061584,0.40614091122220847
2022-12-01,2022-11-01,REWEIGHT,801170,交通运输,5,2,0.2,0.2,0.16363565721913037,0.13641306251907506
2022-12-01,2022-11-01,REWEIGHT,801720,建筑装饰,3,3,0.2,0.2,0.10003153305776746,0.07691347483312479
2022-12-01,2022-11-01,REWEIGHT,801770,通信,4,5,0.2,0.2,0.1617374151382639,0.12612646654082216
2023-01-01,2022-12-01,ADD,801180,房地产,,3,0,0.2,0,0.07483759631728708
2023-01-01,2022-12-01,ADD,801960,石油石化,,4,0,0.2,0,0.1466260672295891
2023-01-01,2022-12-01,ADD,801710,建筑材料,,5,0,0.2,0,0.05035114468431989
2023-01-01,2022-12-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.40614091122220847,0.44171642064470273
2023-01-01,2022-12-01,REWEIGHT,801790,非银金融,4,2,0.2,0.2,0.2544060848847694,0.28646877112410124
2023-02-01,2023-01-01,ADD,801770,通信,,3,0,0.2,0,0.1517270980089403
2023-02-01,2023-01-01,ADD,801040,钢铁,,4,0,0.2,0,0.04275382466706229
2023-02-01,2023-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.44171642064470273,0.40123928026796996
