rank,code,name,industry,pb_sel,pb_now,mcap_yi,ret_sel_pct,mom20_pct,mom60_pct,mom120_pct,px_vs_ma60_pct,px_vs_ma20_pct,dist_hi52w_pct,dist_lo52w_pct,avg_amt20d_yi,fin_period,fin_quarter,netprofit_yoy_pct,revenue_yoy_pct,roe_pct,netmargin_pct,debt_assets_pct,netprofit_yi,div_yield_pct,div_count
1,600782,新钢股份,钢铁行业,0.36,0.36,89.2,-0.36,0.72,8.11,-28.3,2.87,0.83,-32.41,12.9,1.08,2026-06-30,2,-652.6,-8.0,-2.36,-3.77,43.0,-6.07,4.82,1
2,002110,三钢闽光,钢铁行业,0.39,0.39,73.8,-0.65,-2.88,3.4,-30.91,1.0,0.73,-37.83,7.04,0.73,2026-06-30,2,-239.2,4.1,-0.99,-0.83,62.5,-1.92,0.33,1
3,600248,陕建股份,工程建设,0.39,0.39,107.7,0.0,2.11,-2.03,-22.46,1.05,0.29,-27.86,8.61,0.55,2026-06-30,2,-78.6,-24.3,0.82,0.52,89.2,2.26,0.69,1
4,000498,山东路桥,工程建设,0.43,0.43,77.2,0.81,0.4,2.81,-18.44,0.99,0.18,-20.91,9.38,0.44,2026-06-30,2,-28.9,-11.3,3.15,2.88,76.3,7.31,4.47,3
5,300070,碧水源,环保行业,0.46,0.46,125.0,-0.86,-1.43,-1.15,-18.82,0.57,-0.46,-27.82,8.15,0.98,2026-06-30,2,128.5,-4.6,0.11,1.09,62.8,0.3,0.12,1
6,600649,城投控股,房地产开发,0.46,0.49,101.2,5.18,11.85,11.54,-16.8,10.09,5.19,-28.01,17.68,1.62,2026-06-30,2,-133.8,-52.1,-0.25,-1.82,73.3,-0.52,0.99,1
7,600269,赣粤高速,铁路公路,0.47,0.48,91.6,1.82,0.51,-5.08,-21.6,-1.76,2.44,-29.5,4.53,0.79,2026-06-30,2,-72.8,-13.7,1.06,7.81,44.4,2.08,4.34,1
8,600682,南京新百,商业百货,0.47,0.46,75.5,-1.06,-0.53,-3.94,-21.87,0.05,-2.43,-39.42,8.93,0.96,2026-06-30,2,-78.4,-10.0,0.22,1.24,27.9,0.36,,0
9,600266,城建发展,房地产开发,0.49,0.5,89.3,1.9,6.7,-1.6,-20.52,4.08,1.44,-39.86,11.11,2.27,2026-06-30,2,-111.3,-20.7,-0.74,-0.68,78.9,-0.69,1.16,1
10,600657,信达地产,房地产开发,0.52,0.68,99.8,30.6,36.19,28.68,7.69,36.68,28.18,-20.27,52.84,1.54,2026-06-30,2,64.2,-27.8,-8.62,-102.84,75.9,-13.2,,0
11,600373,中文传媒,文化传媒,0.55,0.56,100.0,1.92,3.06,-2.89,-15.59,3.89,3.4,-35.26,11.92,0.87,2026-06-30,2,-0.7,-12.4,1.61,9.34,37.4,2.89,2.7,1
12,000778,新兴铸管,钢铁行业,0.56,0.56,147.0,0.82,-1.07,-7.25,-25.35,-1.93,-0.01,-29.73,2.77,1.68,2026-06-30,2,-8.0,19.2,1.41,1.76,42.6,3.72,2.02,1
13,600739,辽宁成大,贸易行业,0.57,0.56,166.2,-1.71,1.68,11.89,-9.15,3.65,0.59,-17.21,11.89,1.81,2026-06-30,2,125.8,-13.6,5.49,36.72,34.5,16.2,1.37,1
14,600859,王府井,商业百货,0.57,0.59,113.9,2.74,0.5,-0.49,-23.14,2.54,1.4,-38.31,10.35,1.44,2026-06-30,2,-33.2,-7.0,0.28,1.09,48.5,0.54,,0
15,002061,浙江交科,工程建设,0.58,0.58,91.7,-0.29,-1.14,-3.07,-15.98,-1.52,-0.94,-18.74,5.15,0.58,2026-06-30,2,-19.0,-3.0,2.75,2.44,75.4,4.41,3.17,1
16,600528,中铁工业,交运设备,0.6,0.61,154.6,0.43,-1.28,1.75,-19.35,0.21,-0.46,-23.35,7.08,0.62,2026-06-30,2,-10.7,-10.6,2.18,5.06,54.6,6.15,1.3,1
17,600017,日照港,航运港口,0.61,0.62,87.7,0.71,6.34,9.37,-11.88,5.81,3.75,-12.42,14.0,1.1,2026-06-30,2,-7.2,4.1,2.36,8.71,61.0,3.33,2.54,2
18,600717,天津港,航运港口,0.61,0.62,126.2,1.63,3.07,-0.55,-6.96,2.83,1.8,-19.07,12.08,0.84,2026-06-30,2,34.5,-13.2,3.33,12.63,24.5,6.77,2.34,1
19,000990,诚志股份,化学原料,0.63,0.61,110.1,-3.58,-3.86,-26.98,-35.69,-17.46,-1.98,-50.87,2.54,3.24,2026-06-30,2,1416.2,2.8,1.63,4.72,30.9,2.9,,0
20,600502,安徽建工,工程建设,0.64,0.64,76.6,0.0,-1.98,0.13,-7.49,-1.72,-0.84,-23.31,4.27,1.24,2026-06-30,2,2.1,1.7,2.73,1.84,85.1,5.64,6.05,2
21,000028,国药一致,医药商业,0.65,0.65,123.6,1.41,-0.64,2.37,-12.37,-0.27,0.74,-15.83,6.77,0.68,2026-06-30,2,-9.0,-1.4,3.21,1.67,54.5,6.06,3.05,1
22,600643,爱建集团,多元金融,0.66,0.68,66.4,2.46,6.38,6.92,-9.54,4.86,3.27,-34.23,12.4,0.64,2026-06-30,2,-81.0,-31.7,0.27,4.47,54.6,0.27,,0
23,600064,南京高科,房地产开发,0.67,0.67,132.7,0.13,0.39,5.5,-13.72,1.65,0.39,-16.81,7.57,1.2,2026-06-30,2,-9.1,-28.2,6.38,89.27,47.1,12.56,4.17,1
24,600335,国机汽车,汽车服务,0.67,0.66,77.1,-1.71,1.57,-0.19,-18.81,1.77,0.76,-26.52,10.68,0.91,2026-06-30,2,21.1,-8.7,2.21,1.68,68.4,2.58,2.16,2
25,600827,百联股份,商业百货,0.67,0.68,139.9,1.95,2.22,-0.63,-9.57,1.29,1.86,-22.53,5.8,1.02,2026-06-30,2,191.6,-9.1,4.44,7.57,58.0,9.13,1.91,1
26,600155,华创云信,证券,0.68,0.67,136.0,0.0,5.41,19.81,-8.38,7.96,3.64,-22.22,19.81,1.74,2026-06-30,2,202.7,33.9,1.19,13.57,69.7,2.39,,0
27,600740,山西焦化,煤炭行业,0.68,0.66,99.4,-3.0,9.6,6.82,-22.06,8.82,3.34,-24.48,21.63,1.94,2026-06-30,2,81.2,-3.8,-0.1,-0.47,39.8,-0.15,0.64,1
28,600997,开滦股份,煤炭行业,0.69,0.65,87.5,-6.13,1.85,4.95,-19.5,3.2,-1.4,-26.02,16.0,0.78,2026-06-30,2,-138.3,7.2,-1.02,-1.46,43.7,-1.38,0.36,1
29,600123,兰花科创,煤炭行业,0.71,0.68,103.9,-4.6,0.86,5.07,-2.22,7.07,-2.68,-4.6,32.02,1.84,2026-06-30,2,44.6,18.3,0.55,1.73,60.4,0.83,,0
