cat,rank,code,name,industry,pb,mcap_yi,mom20,mom60,px_vs_ma60,hi52w,roe_h1,netprofit_yoy,revenue_yoy,netprofit_yi,debt_assets,div_yield
A_现金牛红利,1,601107,四川成渝,铁路公路,1.05,177,4.7,4.9,4.9,-7,4.60,2,13,9.0,67,5.1
A_现金牛红利,2,601326,秦港股份,航运港口,0.96,200,5.6,5.3,5.5,-9,4.85,3,5,10.2,23,3.2
A_现金牛红利,3,000828,东莞控股,铁路公路,1.01,105,1.3,3.0,2.2,-15,5.32,3,-8,5.5,33,4.7
A_现金牛红利,4,601333,广深铁路,铁路公路,0.77,222,5.7,6.7,5.8,-9,4.16,7,6,11.9,22,2.9
A_现金牛红利,5,600461,洪城环境,公用事业,1.16,115,0.2,0.4,-0.8,-11,5.71,-4,-8,5.8,56,5.2
A_现金牛红利,6,601033,永兴股份,环保行业,1.22,132,3.2,7.7,3.4,-10,4.76,13,9,5.2,56,4.3
A_现金牛红利,7,000690,宝新能源,电力行业,0.83,108,3.1,-3.5,1.9,-20,4.86,13,-4,6.3,42,5.0
B_制造龙头,8,601677,明泰铝业,有色金属,1.02,207,-1.4,1.0,1.2,-14,7.09,50,24,14.1,32,1.9
B_制造龙头,9,000581,威孚高科,汽车零部件,0.87,175,4.2,3.4,3.2,-29,4.20,19,14,8.4,32,4.4
B_制造龙头,10,000550,江铃汽车,汽车整车,1.24,148,6.3,3.7,3.9,-21,6.12,1,7,7.4,63,3.2
B_制造龙头,11,600761,安徽合力,工程机械,1.32,146,-4.9,2.2,-2.8,-29,6.10,-18,12,6.7,42,3.7
B_制造龙头,12,601222,林洋能源,仪器仪表,0.78,121,5.9,-2.1,5.3,-13,2.77,32,82,4.3,32,1.5
B_制造龙头,13,600210,紫江企业,包装材料,1.38,93,-0.2,-3.9,-2.3,-25,7.82,15,-8,5.4,50,5.7
C_医药传媒,14,600216,浙江医药,化学制药,1.07,122,3.3,10.6,3.1,-30,5.37,-10,2,6.1,18,2.2
C_医药传媒,15,000028,国药一致,医药商业,0.65,124,-0.6,2.4,-0.3,-16,3.21,-9,-1,6.1,54,3.0
C_医药传媒,16,000650,仁和药业,中药,1.20,75,-0.9,4.9,0.2,-20,4.52,0,6,2.9,12,2.8
C_医药传媒,17,601900,南方传媒,文化传媒,1.25,110,6.1,7.0,7.0,-25,5.23,5,-5,4.8,47,4.5
C_医药传媒,18,000719,中原传媒,文化传媒,1.06,128,2.8,7.0,5.0,-10,4.15,-5,-8,5.1,38,5.3
C_医药传媒,19,601921,浙版传媒,文化传媒,1.15,167,5.3,2.4,4.6,-12,4.39,-4,-10,6.5,32,4.2
D_反转与金融,20,000089,深圳机场,航空机场,1.13,136,2.3,7.6,3.0,-9,6.17,136,6,7.4,50,2.4
D_反转与金融,21,600057,厦门象屿,物流行业,1.22,185,4.5,11.2,6.2,-27,5.04,3,2,10.7,72,3.4
D_反转与金融,22,600258,首旅酒店,旅游酒店,1.11,133,0.2,-0.8,0.5,-31,3.59,11,-2,4.4,49,3.8
D_反转与金融,23,000563,陕国投Ａ,多元金融,0.82,156,1.7,7.0,2.3,-20,3.85,0,3,7.3,26,3.0
D_反转与金融,24,002091,江苏国泰,贸易行业,0.80,126,1.2,2.8,1.4,-24,2.85,-14,6,4.7,50,6.1
