symbol,name,market,industry,pb,totalMarketCap,rank
002936,郑州银行,SZ,银行,0.34,16093000000.0,1
600782,新钢股份,SH,钢铁行业,0.36,8947000000.0,2
001227,兰州银行,SZ,银行,0.39,12189000000.0,3
002110,三钢闽光,SZ,钢铁行业,0.39,7433000000.0,4
600248,陕建股份,SH,工程建设,0.39,10770000000.0,5
600928,西安银行,SH,银行,0.42,15422000000.0,6
000498,山东路桥,SZ,工程建设,0.43,7654000000.000001,7
002958,青农商行,SZ,银行,0.43,16334000000.0,8
601860,紫金银行,SH,银行,0.45,9446000000.0,9
300070,碧水源,SZ,环保行业,0.46,12612000000.0,10
600649,城投控股,SH,房地产开发,0.46,9618000000.0,11
600269,赣粤高速,SH,铁路公路,0.47,8991000000.0,12
600682,南京新百,SH,商业百货,0.47,7627000000.0,13
603323,苏农银行,SH,银行,0.48,9659000000.0,14
600266,城建发展,SH,房地产开发,0.49,8760000000.0,15
601528,瑞丰银行,SH,银行,0.49,9987000000.0,16
600657,信达地产,SH,房地产开发,0.52,7643000000.000001,17
600908,无锡银行,SH,银行,0.52,12224000000.0,18
002807,江阴银行,SZ,银行,0.54,10993000000.0,19
002839,张家港行,SZ,银行,0.54,10462000000.0,20
600373,中文传媒,SH,文化传媒,0.55,9809000000.0,21
000778,新兴铸管,SZ,钢铁行业,0.56,14585000000.0,22
600739,辽宁成大,SH,贸易行业,0.57,16913000000.0,23
600859,王府井,SH,商业百货,0.57,11082000000.0,24
002061,浙江交科,SZ,工程建设,0.58,9198000000.0,25
600528,中铁工业,SH,交运设备,0.6,15394999999.999998,26
600017,日照港,SH,航运港口,0.61,8704000000.0,27
600717,天津港,SH,航运港口,0.61,12415000000.0,28
000990,诚志股份,SZ,化学原料,0.63,11416000000.0,29
600502,安徽建工,SH,工程建设,0.64,7656000000.0,30
000028,国药一致,SZ,医药商业,0.65,12189000000.0,31
600643,爱建集团,SH,多元金融,0.66,6484000000.0,32
600064,南京高科,SH,房地产开发,0.67,13254000000.0,33
600335,国机汽车,SH,汽车服务,0.67,7839000000.0,34
600827,百联股份,SH,商业百货,0.67,13719999999.999998,35
600155,华创云信,SH,证券,0.68,13790000000.0,36
600740,山西焦化,SH,煤炭行业,0.68,10248000000.0,37
601963,重庆银行,SH,银行,0.68,40572000000.0,38
600997,开滦股份,SH,煤炭行业,0.69,9320000000.0,39
600123,兰花科创,SH,煤炭行业,0.71,10887000000.0,40
601187,厦门银行,SH,银行,0.71,19398000000.0,41
002010,传化智联,SZ,物流行业,0.72,13046000000.0,42
600639,浦东金桥,SH,房地产开发,0.72,10629000000.0,43
600787,中储股份,SH,物流行业,0.72,9982000000.0,44
002233,塔牌集团,SZ,水泥建材,0.73,8513000000.0,45
601333,广深铁路,SH,铁路公路,0.74,21534000000.0,46
002101,广东鸿图,SZ,汽车零部件,0.75,5873000000.0,47
600022,山东钢铁,SH,钢铁行业,0.75,14336000000.000002,48
600033,福建高速,SH,铁路公路,0.77,9660000000.0,49
600037,歌华有线,SH,文化传媒,0.77,9937000000.0,50
601222,林洋能源,SH,仪器仪表,0.77,11900000000.0,51
000885,城发环境,SZ,环保行业,0.8,7801000000.000001,52
000950,重药控股,SZ,医药商业,0.8,9300000000.0,53
002091,江苏国泰,SZ,贸易行业,0.8,12566000000.0,54
600328,中盐化工,SH,化学原料,0.8,9414000000.0,55
600963,岳阳林纸,SH,造纸印刷,0.8,6064000000.0,56
601200,上海环境,SH,环保行业,0.8,9424000000.0,57
300284,苏交科,SZ,工程咨询服务,0.81,6693000000.000001,58
000563,陕国投Ａ,SZ,多元金融,0.82,15494999999.999998,59
000690,宝新能源,SZ,电力行业,0.82,10662000000.0,60
002948,青岛银行,SZ,银行,0.82,35737000000.0,61
600623,华谊集团,SH,化学原料,0.82,18567000000.0,62
000030,富奥股份,SZ,汽车零部件,0.83,6931000000.0,63
002212,天融信,SZ,软件开发,0.83,7678000000.0,64
600420,国药现代,SH,化学制药,0.83,11413000000.0,65
601778,晶科科技,SH,电力行业,0.83,13626000000.0,66
001914,招商积余,SZ,房地产服务,0.85,9325000000.0,67
002060,广东建工,SZ,工程建设,0.86,12164000000.0,68
601801,皖新传媒,SH,文化传媒,0.86,10220000000.0,69
000581,威孚高科,SZ,汽车零部件,0.87,17479000000.0,70
000685,中山公用,SZ,公用事业,0.87,16761000000.000002,71
000156,华数传媒,SZ,文化传媒,0.88,13193000000.0,72
002004,华邦健康,SZ,化学制药,0.88,8890000000.0,73
002727,一心堂,SZ,医药商业,0.88,6529000000.000001,74
601311,骆驼股份,SH,电池,0.88,8763000000.0,75
000552,甘肃能化,SZ,煤炭行业,0.89,14716999999.999998,76
600094,大名城,SH,房地产开发,0.89,9114000000.0,77
600757,长江传媒,SH,文化传媒,0.89,8896000000.0,78
603567,珍宝岛,SH,中药,0.89,5331000000.0,79
000012,南 玻Ａ,SZ,玻璃玻纤,0.9,11348000000.0,80
000930,中粮科技,SZ,农牧饲渔,0.9,9227000000.0,81
600273,嘉化能源,SH,化学制品,0.9,8956000000.0,82
603599,广信股份,SH,农药兽药,0.9,9148000000.0,83
000059,华锦股份,SZ,石油行业,0.92,9245000000.0,84
000543,皖能电力,SZ,电力行业,0.92,16435000000.0,85
002051,中工国际,SZ,工程建设,0.92,10523000000.0,86
600864,哈投股份,SH,证券,0.92,12088000000.0,87
000686,东北证券,SZ,证券,0.93,19051000000.0,88
000928,中钢国际,SZ,工程咨询服务,0.93,7876000000.000001,89
600075,新疆天业,SH,化学原料,0.93,8283000000.0,90
600508,上海能源,SH,煤炭行业,0.93,12000000000.0,91
002221,东华能源,SZ,石油行业,0.94,9315000000.0,92
600971,恒源煤电,SH,煤炭行业,0.94,11028000000.0,93
603218,日月股份,SH,风电设备,0.94,9557000000.0,94
002073,软控股份,SZ,专用设备,0.95,6126000000.0,95
600866,星湖科技,SH,化学制品,0.95,7277000000.0,96
601326,秦港股份,SH,航运港口,0.95,19668000000.0,97
300443,金雷股份,SZ,风电设备,0.97,6220000000.0,98
600587,新华医疗,SH,医疗器械,0.97,7692000000.0,99
600675,中华企业,SH,房地产开发,0.97,13725000000.0,100
600507,方大特钢,SH,钢铁行业,0.99,9831000000.0,101
600597,光明乳业,SH,食品饮料,0.99,9622000000.0,102
300294,博雅生物,SZ,生物制品,1.0,7406999999.999999,103
600120,浙江东方,SH,多元金融,1.0,16735000000.0,104
000875,电投绿能,SZ,电力行业,1.01,17919000000.0,105
000719,中原传媒,SZ,文化传媒,1.02,12289000000.0,106
000828,东莞控股,SZ,铁路公路,1.02,10624000000.0,107
600133,东湖高新,SH,环保行业,1.02,9106000000.0,108
601908,京运通,SH,光伏设备,1.02,7292000000.0,109
601949,中国出版,SH,文化传媒,1.02,10110000000.0,110
000966,长源电力,SZ,电力行业,1.03,13994000000.0,111
